country_code,n_sites,K,scenarios_compared,mean_jaccard_vs_baseline_topk,min_jaccard_vs_baseline_topk,band_a_count,band_b_count,band_c_count
AT,6,6,15,0.9333,0.0,0,0,1
BA,6,6,15,0.9333,0.0,0,0,1
BG,7,7,15,0.9333,0.0,1,0,0
BY,2,2,15,0.9667,0.5,1,0,0
CZ,23,10,15,0.9333,0.0,1,1,0
HR,1,1,15,0.9333,0.0,1,0,0
HU,10,10,15,0.9333,0.0,1,0,0
LV,1,1,15,0.9333,0.0,1,0,0
MD,1,1,15,0.9333,0.0,1,0,0
ME,1,1,15,0.9333,0.0,1,0,0
MK,4,4,15,0.9333,0.0,1,0,0
PL,41,13,15,0.9265,0.3077,2,2,0
RO,19,10,15,0.9236,0.4,1,1,0
RS,7,7,15,0.9524,0.2857,1,0,0
SK,5,5,15,0.9333,0.0,1,0,0
TR,106,32,15,0.8893,0.3824,5,1,2
UA,17,10,15,0.8218,0.0,1,0,0
