criterion_id,family,name,declared_weight,observed_min,observed_max,observed_range,swing_weight,delta
NH-01,NH,Seismic ground motion (PGA),0.031802,0.0,9.5,9.5,0.077411,0.045608
RI-04,RI,Population density (EPZ rings),0.028269,1.5,9.5,8.0,0.057945,0.029676
NH-02,NH,Seismic surface rupture (capable faults),0.031802,0.0,7.5,7.5,0.061114,0.029312
NH-07,NH,Volcanism,0.035336,5.0,5.0,0.0,0.009054,-0.026282
RI-05,RI,Distance to large population centres (>50 k),0.035336,5.0,5.0,0.0,0.009054,-0.026282
EP-01,EP,Emergency-plan feasibility (composite),0.028269,0.0,7.5,7.5,0.054323,0.026055
NH-05,NH,Subsidence / karst / mining / oil & gas,0.024735,1.5,9.5,8.0,0.050702,0.025967
NH-04,NH,Geotechnical - slope stability,0.017668,0.0,9.5,9.5,0.043006,0.025338
NS-04,NS,Site topography / grading,0.021201,1.5,9.5,8.0,0.043459,0.022257
NH-09,NH,River flooding,0.028269,5.0,5.0,0.0,0.007243,-0.021025
BF-02,BF,Land / nuclear-island footprint,0.017668,1.5,9.5,8.0,0.036215,0.018548
NS-05,NS,Land availability / ownership / zoning,0.017668,1.5,9.5,8.0,0.036215,0.018548
RI-02,RI,Surface water dispersion,0.017668,1.5,9.5,8.0,0.036215,0.018548
RI-06,RI,Population projections (60-yr design life),0.017668,1.5,9.5,8.0,0.036215,0.018548
EP-04,EP,"Special populations (hospitals, prisons, care homes)",0.021201,5.0,5.0,0.0,0.005432,-0.015769
HI-05,HI,Transport hazards (hazmat road / rail / pipe),0.021201,5.0,5.0,0.0,0.005432,-0.015769
NH-08,NH,"Coastal flooding (storm surge, tsunami)",0.021201,5.0,5.0,0.0,0.005432,-0.015769
NS-11,NS,Coal-to-nuclear synergies,0.021201,5.0,5.0,0.0,0.005432,-0.015769
NS-12,NS,Regulatory / political environment,0.021201,5.0,5.0,0.0,0.005432,-0.015769
RI-01,RI,"Atmospheric dispersion (wind, stability, BLH)",0.021201,5.0,5.0,0.0,0.005432,-0.015769
NS-02,NS,Grid connection (detailed),0.028269,3.5,9.5,6.0,0.043459,0.01519
NS-01,NS,Cooling water / ultimate heat sink,0.028269,5.0,7.0,2.0,0.014486,-0.013782
HI-03,HI,Toxic / gas releases,0.024735,1.5,7.5,6.0,0.038026,0.013291
EP-03,EP,Physical-geography constraints,0.017668,5.0,5.0,0.0,0.004527,-0.013141
NS-06,NS,Existing infrastructure reuse,0.017668,5.0,5.0,0.0,0.004527,-0.013141
NS-07,NS,Environmental impact (non-radiological),0.017668,5.0,5.0,0.0,0.004527,-0.013141
NS-09,NS,Socioeconomic impact,0.017668,5.0,5.0,0.0,0.004527,-0.013141
RI-03,RI,Groundwater dispersion,0.017668,5.0,5.0,0.0,0.004527,-0.013141
HI-01,HI,Aircraft crash hazard,0.024735,3.5,5.5,2.0,0.012675,-0.01206
EP-02,EP,Evacuation routes (road network),0.021201,1.5,7.5,6.0,0.032594,0.011393
EP-05,EP,Concurrent-hazard impact on EP,0.014134,5.0,5.0,0.0,0.003622,-0.010513
NS-10,NS,Workforce availability,0.014134,5.0,5.0,0.0,0.003622,-0.010513
NS-13,NS,Construction logistics,0.014134,5.0,5.0,0.0,0.003622,-0.010513
NS-03,NS,Transport access (heavy haul road / rail / port),0.028269,5.0,10.0,5.0,0.036215,0.007947
HI-08,HI,Other nuclear installations,0.010601,5.0,5.0,0.0,0.002716,-0.007885
NH-10,NH,Extreme winds,0.010601,9.5,9.5,0.0,0.002716,-0.007885
NH-11,NH,"Extreme precipitation (rain, snow, drought)",0.010601,4.0,4.0,0.0,0.002716,-0.007885
NH-13,NH,Forest / wildfire,0.010601,5.0,5.0,0.0,0.002716,-0.007885
NH-14,NH,Combined hazards,0.010601,5.0,5.0,0.0,0.002716,-0.007885
NH-06,NH,"Foundation conditions (bearing, bedrock, groundwater)",0.017668,0.0,5.5,5.5,0.024898,0.00723
NH-12,NH,Extreme temperatures,0.014134,7.5,9.5,2.0,0.007243,-0.006891
HI-07,HI,Electromagnetic interference,0.007067,5.0,5.0,0.0,0.001811,-0.005256
HI-02,HI,Industrial explosions (Seveso / IED),0.024735,5.0,9.5,4.5,0.02852,0.003785
HI-04,HI,External fires,0.021201,5.0,9.5,4.5,0.024445,0.003244
BF-01,BF,Grid export / connection adequacy,0.028269,5.5,9.5,4.0,0.028972,0.000704
NH-03,NH,Geotechnical - settlement and liquefaction,0.024735,1.5,5.5,4.0,0.025351,0.000616
HI-06,HI,Military installations,0.021201,1.5,5.5,4.0,0.021729,0.000528
NS-08,NS,Ecological sensitivity (Natura 2000 / WDPA),0.021201,3.5,7.5,4.0,0.021729,0.000528
