criterion_a,criterion_b,pearson,spearman,max_abs,n_pairs,flagged
HI-02,HI-04,1.0,1.0,1.0,2904,True
BF-02,NS-05,0.9825,0.992,0.992,2904,True
EP-01,RI-04,0.7221,0.7467,0.7467,2904,True
NH-01,NH-02,0.6185,0.7221,0.7221,2904,True
BF-01,NS-02,0.6904,0.6115,0.6904,2904,False
NS-04,NS-08,0.6057,0.6026,0.6057,2904,False
NH-01,NS-08,0.5389,0.5884,0.5884,2904,False
NH-02,NS-08,0.3297,0.4499,0.4499,2904,False
NH-01,NH-05,-0.4398,-0.413,0.4398,2904,False
HI-06,NS-08,-0.4097,-0.4307,0.4307,2904,False
EP-02,RI-04,-0.4257,-0.4258,0.4258,2904,False
NS-04,RI-04,-0.4108,-0.4143,0.4143,2904,False
HI-06,RI-04,0.4099,0.4099,0.4099,2904,False
NH-01,RI-06,0.3812,0.335,0.3812,2904,False
NH-01,NS-01,0.365,0.3672,0.3672,2904,False
EP-01,NS-04,-0.3671,-0.3594,0.3671,2904,False
HI-01,HI-06,0.3623,0.3602,0.3623,2904,False
HI-01,RI-04,0.3588,0.3516,0.3588,2904,False
NS-03,RI-04,-0.3566,-0.3496,0.3566,2904,False
NH-01,NS-04,0.3508,0.3397,0.3508,2904,False
HI-01,NS-08,-0.3298,-0.3413,0.3413,2904,False
EP-01,HI-06,0.3356,0.3363,0.3363,2904,False
EP-02,HI-06,-0.3334,-0.3309,0.3334,2904,False
HI-06,NS-04,-0.3134,-0.3223,0.3223,2904,False
HI-01,NH-05,0.3196,0.3206,0.3206,2904,False
NS-01,NS-08,0.3004,0.3204,0.3204,2904,False
EP-02,NS-08,0.304,0.3151,0.3151,2904,False
NH-04,RI-02,0.2981,0.3091,0.3091,2904,False
EP-01,HI-01,0.3027,0.298,0.3027,2904,False
HI-06,NH-01,-0.3025,-0.3023,0.3025,2904,False
NS-03,RI-02,0.2934,0.2506,0.2934,2904,False
EP-02,RI-06,-0.2422,-0.2915,0.2915,2904,False
NS-08,RI-04,-0.2887,-0.2904,0.2904,2904,False
NH-05,NS-01,-0.288,-0.2823,0.288,2904,False
NH-06,RI-04,0.2844,0.2812,0.2844,2904,False
NH-02,NS-04,0.2303,0.2809,0.2809,2904,False
EP-01,EP-02,-0.279,-0.2771,0.279,2904,False
EP-01,NS-08,-0.2771,-0.2652,0.2771,2904,False
NH-05,RI-06,-0.2756,-0.2223,0.2756,2904,False
EP-01,NH-06,0.2738,0.2538,0.2738,2904,False
EP-02,NH-01,0.2732,0.2726,0.2732,2904,False
HI-01,NH-01,-0.2618,-0.2624,0.2624,2904,False
NH-04,NS-04,0.2601,0.2252,0.2601,2904,False
EP-02,NS-04,0.2595,0.254,0.2595,2904,False
NH-02,NH-05,-0.1621,-0.2558,0.2558,2904,False
EP-02,HI-01,-0.2425,-0.2513,0.2513,2904,False
EP-01,NS-03,-0.2494,-0.2477,0.2494,2904,False
NH-05,NS-08,-0.2355,-0.2459,0.2459,2904,False
NS-01,RI-02,0.2382,0.2453,0.2453,2904,False
NS-01,NS-04,0.2434,0.2332,0.2434,2904,False
NH-04,NH-05,0.2223,0.2429,0.2429,2904,False
NH-01,NS-03,0.2415,0.2417,0.2417,2904,False
HI-01,NS-04,-0.2416,-0.2409,0.2416,2904,False
NS-03,NS-08,0.2173,0.24,0.24,2904,False
NH-01,RI-04,-0.2391,-0.2204,0.2391,2904,False
EP-02,NS-03,0.2381,0.236,0.2381,2904,False
HI-06,NS-03,-0.2355,-0.2315,0.2355,2904,False
HI-01,NH-02,-0.1698,-0.2287,0.2287,2904,False
NS-03,NS-04,0.2241,0.2181,0.2241,2904,False
NS-01,RI-06,0.219,0.2116,0.219,2904,False
NS-08,RI-02,0.1837,0.2185,0.2185,2904,False
HI-06,NH-02,-0.1216,-0.2124,0.2124,2904,False
NS-01,NS-03,0.2122,0.2088,0.2122,2904,False
NH-01,NH-06,-0.1714,-0.209,0.209,2904,False
NH-01,RI-02,0.208,0.1977,0.208,2904,False
NH-04,NS-03,0.1922,0.2079,0.2079,2904,False
NH-05,NH-06,0.133,0.2066,0.2066,2904,False
EP-01,NH-01,-0.2007,-0.192,0.2007,2904,False
HI-01,NH-06,0.1949,0.1976,0.1976,2904,False
EP-02,NH-02,0.1685,0.1975,0.1975,2904,False
HI-06,NH-05,0.1933,0.1969,0.1969,2904,False
NS-08,RI-06,0.1961,0.1507,0.1961,2904,False
HI-06,NS-05,0.1914,0.1943,0.1943,2904,False
