country_code,n_sites,n_pairs,survived,hard_only,floor_only,both,n_sites_with_survivor
TR,146,1168,120,112,728,208,15
PL,63,504,32,64,248,160,4
CZ,29,232,0,0,0,232,0
RO,24,192,32,24,112,24,4
UA,20,160,0,0,16,144,0
BG,15,120,0,8,56,56,0
BA,11,88,0,0,0,88,0
HU,11,88,0,0,0,88,0
AT,8,64,0,0,48,16,0
RS,8,64,16,8,24,16,2
SK,6,48,0,0,0,48,0
ME,4,32,0,0,8,24,0
MK,4,32,0,0,32,0,0
XK,4,32,0,16,0,16,0
SI,3,24,0,0,0,24,0
BY,2,16,8,0,8,0,1
HR,2,16,0,0,0,16,0
AL,1,8,0,0,0,8,0
LV,1,8,0,0,8,0,0
MD,1,8,0,0,0,8,0
