stamp,run_id,metric,value
20260425b,20260425T140231_ff84d75e,total_pairs,2904
20260425b,20260425T140231_ff84d75e,survived,208
20260425b,20260425T140231_ff84d75e,failed_any,2696
20260425b,20260425T140231_ff84d75e,failed_hard_only,232
20260425b,20260425T140231_ff84d75e,failed_floor_only,1288
20260425b,20260425T140231_ff84d75e,failed_both,1176
20260425b,20260425T140231_ff84d75e,failed_by_hard_anywhere,1408
20260425b,20260425T140231_ff84d75e,failed_by_floor_anywhere,2464
20260425b,20260425T140231_ff84d75e,n_distinct_sites,363
20260425b,20260425T140231_ff84d75e,n_distinct_smrs,8
