country_code,smr_key,site_id,iterations,p_rank_1,p_rank_le_3,p_rank_le_5,median_rank,p05_rank,p95_rank,rank_iqr,eligible_pair_count,small_n
AT,nuscale_voygr6,2dcd2c6d-f375-4408-9492-7910662fac03,10000,0.0214,1.0,1.0,2.0,2.0,2.0,0.0,6,False
AT,nuscale_voygr6,532bfb42-0d4c-42cf-a81a-287f2b3a75bf,10000,0.0,0.1849,0.9987,4.0,3.0,5.0,0.0,6,False
AT,nuscale_voygr6,660d9d71-6733-4294-951b-1c58614d58cf,10000,0.9786,1.0,1.0,1.0,1.0,1.0,0.0,6,False
AT,nuscale_voygr6,6e7fc4d8-636d-411a-baef-e138a5a07acc,10000,0.0,0.0143,0.9451,5.0,4.0,6.0,0.0,6,False
AT,nuscale_voygr6,90820fe3-9889-4faf-9906-7c528f8d7bc5,10000,0.0,0.0,0.0562,6.0,5.0,6.0,0.0,6,False
AT,nuscale_voygr6,99d712ac-7993-4186-8a0e-2e88bae7e90f,10000,0.0,0.8008,1.0,3.0,3.0,4.0,0.0,6,False
BA,nuscale_voygr6,344e0e9a-558e-4749-bb66-cd746be50cbd,10000,0.0,0.1042,1.0,4.0,3.0,4.0,0.0,5,False
BA,nuscale_voygr6,82011c29-a3d3-4a81-a27b-019d2649a251,10000,0.0,0.0,1.0,5.0,5.0,5.0,0.0,5,False
BA,nuscale_voygr6,a23d073a-cbbd-469a-b134-380945fd3f4c,10000,0.0003,0.9009,1.0,3.0,2.0,4.0,0.0,5,False
BA,nuscale_voygr6,aa0bdb5e-45aa-4d15-8aee-cb5b0e14f5d9,10000,0.9767,1.0,1.0,1.0,1.0,1.0,0.0,5,False
BA,nuscale_voygr6,e75c63e5-ef2f-4e08-8f8c-3da41215af9d,10000,0.023,0.9949,1.0,2.0,2.0,3.0,0.0,5,False
BG,nuscale_voygr6,2fb27566-cc7b-4530-8ff9-e55e3a1985bd,10000,0.0001,0.0355,1.0,5.0,4.0,5.0,0.0,7,False
BG,nuscale_voygr6,30c9e377-b575-46fa-880f-922c46e6500a,10000,0.0497,0.7596,1.0,3.0,2.0,4.0,0.0,7,False
BG,nuscale_voygr6,33a015dd-51e0-497e-b0d3-4b1b3f070438,10000,0.0,0.0,0.0,6.0,6.0,7.0,0.0,7,False
BG,nuscale_voygr6,3bb6666f-de2f-4c6f-a28e-c3bddb71b54a,10000,0.0051,0.2439,1.0,4.0,3.0,5.0,0.0,7,False
BG,nuscale_voygr6,704ef487-f600-4f23-b06e-a0f81b627597,10000,0.0,0.0,0.0,7.0,6.0,7.0,0.0,7,False
