country_code,smr_key,weight_profile,scenario_family,site_id,baseline_national_rank,scenario_national_rank,rank_delta,baseline_score,scenario_score,score_delta,eligible_pair_count,small_n
TR,nuscale_voygr6,mc_10000,mc_summary,0049a899-af5f-41cd-86ae-2ba729b6365f,93,93,0,5.942,5.434,-0.508,110,False
RS,nuscale_voygr6,mc_10000,mc_summary,0182ec25-0df9-4e4b-9861-d76a332bc282,1,4,3,6.715,5.935,-0.7800000000000002,6,False
UA,nuscale_voygr6,mc_10000,mc_summary,02253fcc-4fc6-42d4-a6a8-42365487302f,13,11,-2,6.148,5.748,-0.39999999999999947,20,False
TR,nuscale_voygr6,mc_10000,mc_summary,0248611c-b745-404f-ad50-c2870882c7a1,18,31,13,6.832,5.944,-0.8879999999999999,110,False
UA,nuscale_voygr6,mc_10000,mc_summary,038d42e9-769b-4b22-9513-dccff48b42cd,15,17,2,5.93,5.508,-0.4219999999999997,20,False
HU,nuscale_voygr6,mc_10000,mc_summary,059b3ad4-7196-4e6b-b169-8605ceeed841,4,4,0,6.601,6.089,-0.5119999999999996,11,False
CZ,nuscale_voygr6,mc_10000,mc_summary,05daa6b2-bb29-4c26-a459-855626673955,13,13,0,6.34,5.926,-0.4139999999999997,29,False
PL,nuscale_voygr6,mc_10000,mc_summary,06641fea-8997-4b69-a618-6afa34b82591,44,46,2,5.912,5.515,-0.39700000000000024,61,False
SK,nuscale_voygr6,mc_10000,mc_summary,06defca3-9105-437f-afd4-52f5603d9b8e,4,4,0,6.272,5.788,-0.484,5,False
TR,nuscale_voygr6,mc_10000,mc_summary,0947a4c8-4fc1-492f-9c66-2c9a993c7fb0,54,54,0,6.445,5.757,-0.6880000000000006,110,False
CZ,nuscale_voygr6,mc_10000,mc_summary,0ae8917b-a70b-41e5-82de-e4963a7686e3,16,16,0,6.265,5.739,-0.5259999999999998,29,False
PL,nuscale_voygr6,mc_10000,mc_summary,0b187a1d-55de-47cf-96a3-06abc8ff2476,18,18,0,6.662,6.047,-0.6150000000000002,61,False
TR,nuscale_voygr6,mc_10000,mc_summary,0ca4ff78-4113-4ad9-ac04-0fd541d42338,78,86,8,6.123,5.49,-0.633,110,False
TR,nuscale_voygr6,mc_10000,mc_summary,0fec985c-c66e-40af-a123-a9ba4db269bb,63,61,-2,6.35,5.701,-0.649,110,False
TR,nuscale_voygr6,mc_10000,mc_summary,1289753b-43db-4058-8fe1-6e38b5fb01b5,27,21,-6,6.726,6.01,-0.7160000000000002,110,False
TR,nuscale_voygr6,mc_10000,mc_summary,142cad75-648a-495d-8c10-792351e72126,4,4,0,7.153,6.232,-0.9209999999999994,110,False
CZ,nuscale_voygr6,mc_10000,mc_summary,14e88076-ce0e-4693-bca4-e80f3f013c7f,18,17,-1,6.259,5.709,-0.5500000000000007,29,False
TR,nuscale_voygr6,mc_10000,mc_summary,1624a526-07d8-44a4-8ed7-3b035b748f03,105,97,-8,5.653,5.402,-0.25099999999999945,110,False
TR,nuscale_voygr6,mc_10000,mc_summary,166f5fcc-1cc4-4cf5-9e52-59e7ce1557c6,23,11,-12,6.759,6.162,-0.5970000000000004,110,False
SK,nuscale_voygr6,mc_10000,mc_summary,1719d38b-61e8-4b01-844b-3a2f85c8a186,3,3,0,6.503,5.84,-0.6630000000000003,5,False
MK,nuscale_voygr6,mc_10000,mc_summary,1739b1b7-a6f3-466c-9dfa-3d1de9d5b6db,1,1,0,6.391,5.803,-0.5880000000000001,3,False
TR,nuscale_voygr6,mc_10000,mc_summary,17568f0f-91fd-4efe-b4df-2c7cc5d80b7d,110,110,0,5.073,4.781,-0.2920000000000007,110,False
CZ,nuscale_voygr6,mc_10000,mc_summary,180880c2-7284-4723-b02a-a62348b9b40b,9,12,3,6.633,5.956,-0.6769999999999996,29,False
TR,nuscale_voygr6,mc_10000,mc_summary,1820429d-bd95-4e56-a6db-d9bb57e2ae07,96,102,6,5.865,5.355,-0.5099999999999998,110,False
PL,nuscale_voygr6,mc_10000,mc_summary,187b4fd7-6a61-4e94-8ed4-495ac6dfc317,25,27,2,6.419,5.828,-0.5909999999999993,61,False
