count,criterion_id,max,mean,median,metric,min,nulls,p05,p25,p75,p95,rows,stdev,value,zeros
0,EP-03,,,,relief_m_per_10km,,362,,,,,362,,,0
0,EP-03,,,,ep03_gee_relief_16km_m,,362,,,,,362,,,0
362,EP-03,1.0,0.15469613259668508,0.0,major_river_barrier,0.0,0,0.0,0.0,0.0,1.0,362,0.36211527133731086,,306
362,EP-03,566.0,15.041436464088397,0.0,waterway_count_epz,0.0,0,0.0,0.0,0.0,83.94999999999999,362,62.10076652885229,,305
0,EP-03,,,,ep03_quality,,0,,,,,362,,,0
0,EP-03,,,,emergency_run_id,,0,,,,,362,,,0
0,EP-03,,,,emergency_fetched_at,,0,,,,,362,,,0
362,EP-03,,,,baseline_quality_flag,,,,,,,,,<null>,
362,EP-03,,,,candidate_quality_flag,,,,,,,,,scored,
55,EP-03,,,,candidate_band,,,,,,,,,No measured relief; major river barrier (interim).,
1,EP-03,,,,candidate_band,,,,,,,,,No measured relief; major river barrier with limited crossings (interim).,
1,EP-03,,,,candidate_band,,,,,,,,,No measured relief; manageable barrier/waterway context (interim).,
305,EP-03,,,,candidate_band,,,,,,,,,No measured relief; open river/waterway context (interim screening).,
362,EP-03,9.5,8.256906077348066,9.5,candidate_score,1.5,,1.5,9.5,9.5,9.5,,2.8888014436142515,,
15,HI-02,29.49,19.292666666666666,23.24,nearest_seveso_km,5.24,347,5.9399999999999995,9.129999999999999,27.33,29.448,362,9.590188786065733,,0
0,HI-02,,,,nearest_ied_km,,362,,,,,362,,,0
0,HI-02,,,,hi02_quality,,0,,,,,362,,,0
362,HI-02,1.0,1.0,1.0,hi02_search_completed,1.0,0,1.0,1.0,1.0,1.0,362,0.0,,0
0,HI-02,,,,human_run_id,,0,,,,,362,,,0
0,HI-02,,,,human_fetched_at,,0,,,,,362,,,0
362,HI-02,,,,baseline_quality_flag,,,,,,,,,<null>,
362,HI-02,,,,candidate_quality_flag,,,,,,,,,scored,
2,HI-02,,,,candidate_band,,,,,,,,,10-20 km.,
4,HI-02,,,,candidate_band,,,,,,,,,5-10 km (project A7 pass-mark).,
356,HI-02,,,,candidate_band,,,,,,,,,"> 20 km, or completed Seveso search found nothing in radius.",
362,HI-02,9.5,9.44475138121547,9.5,candidate_score,5.5,,9.5,9.5,9.5,9.5,,0.4431536055059004,,
