country_code,name,status,site_id,site_area_ha,llm_db_site_area_ha,buildable_area_ha,largest_contiguous_ha,patch_count,favourable_area_ha,favourable_area_method,ns05_quality,ns05_llm_text_area_ha,min_core_ha,field_conflict,ns05_comment,ns05_llm_observation
RO,Mintia-Deva power station,retired,52a7babe-313f-493b-86b9-bd0c4aece4c3,0.01,,0.01,0.01,9,131.99,comment_buildable_x_fav_pct,high,,0.01,favourable>>contiguous,source=osm_overpass; osm_id=way/1383075665; tags=[power=plant]; dist=0.67km; candidates=2 [CORINE ref: 235.7 ha developable in 0–1 km],
TR,Lüminer Enerji power station,cancelled,bac4a081-83dc-4aba-8076-b67bfc55f54c,0.02,,0.02,0.02,1,0.0,comment_buildable_x_fav_pct,low,,0.02,,"source=osm_overpass; osm_id=way/1211683506; tags=[landuse=industrial, power=plant]; dist=0.64km; candidates=3",
PL,Gubin Power Project,cancelled,917008f5-fba1-4ef7-b82d-9aded2b69267,0.05,,0.05,0.05,9,38.76,comment_buildable_x_fav_pct,low,,0.05,,"source=osm_overpass; osm_id=way/117383681; tags=[landuse=industrial, name=Elektrownia Wodna Gubin, power=plant]; dist=0.54km; candidates=11 [CORINE ref: 45.6 ha developable in 0–1 km]",
RO,Târgu Jiu Thermal Plant,cancelled,e43af28e-a3d3-4047-a9cf-f3b0990754b4,0.08,,0.08,0.08,11,7.47,comment_buildable_x_fav_pct,high,,0.08,,"source=osm_overpass; osm_id=way/501399331; tags=[name=TG.JIU, power=plant]; dist=0.89km; candidates=5 [CORINE ref: 8.3 ha developable in 0–1 km]",
RO,Doicesti power station,cancelled,aff5ffe6-fe7a-4de7-afad-9d4645a64cd9,0.16,,0.16,40.0,12,49.32,comment_buildable_x_fav_pct,high,40.0,0.16,site/buildable/contiguous disagree; contiguous>buildable,"source=osm_overpass; osm_id=way/1361783557; tags=[man_made=works]; dist=0.40km; candidates=5 [CORINE ref: 159.1 ha developable in 0–1 km] | manual_override: largest_contiguous_ha=40 ha (known project area, 2026-05-17)",
TR,Teyo Tufanbeyli power station,cancelled,43f99d45-6635-4392-a522-4a06445fdaf2,0.21,,0.21,0.21,1,273.94,comment_buildable_x_fav_pct,low,,0.21,favourable>>contiguous,"source=osm_overpass; osm_id=way/692219618; tags=[landuse=industrial, name=Su Arıtma Tesisi]; dist=1.52km",
PL,Pulawy power station (Grupa Azoty),construction,cdc888ad-fd51-4710-a5ab-3cd0fe9ddb48,0.37,,0.37,0.37,3,5.68,comment_buildable_x_fav_pct,low,,0.37,,"source=osm_overpass; osm_id=way/148949240; tags=[landuse=industrial, name=Echo-Son]; dist=0.34km; candidates=14 [CORINE ref: 8.6 ha developable in 0–1 km]",
PL,Pulawy power station (Vattenfall),cancelled,a19228ce-f25a-4ffd-a249-9d01403e6b81,0.37,,0.37,0.37,3,5.68,comment_buildable_x_fav_pct,low,,0.37,,"source=osm_overpass; osm_id=way/148949240; tags=[landuse=industrial, name=Echo-Son]; dist=0.34km; candidates=14 [CORINE ref: 8.6 ha developable in 0–1 km]",
TR,Enyat Samsun power station,cancelled,28baef4d-44e3-4b2e-bbe3-75f736371553,0.39,,0.39,0.39,1,170.75,comment_buildable_x_fav_pct,low,,0.39,favourable>>contiguous,"source=osm_overpass; osm_id=way/555821948; tags=[landuse=industrial, name=Akra PVC Fabrikası]; dist=1.06km; candidates=2",
BA,Kakanj Thermal Power Plant,operating,e671be33-8b91-40bd-b563-b833293654aa,0.67,,0.67,0.67,18,16.6,comment_buildable_x_fav_pct,low,42.0,0.67,,"source=osm_overpass; osm_id=way/1316124228; tags=[industrial=distributor, landuse=industrial, name=DSM Trade d.o.o]; dist=0.72km; candidates=3",
RO,Galati Power Station,cancelled,8781d874-5923-4795-9c9f-b2a6c709025a,0.71,,0.71,0.71,1,0.0,comment_buildable_x_fav_pct,high,,0.71,,"source=osm_overpass; osm_id=way/474342287; tags=[landuse=industrial, name=Apa Canal S.A.]; dist=0.68km; candidates=4 [CORINE ref: 0.0 ha developable in 0–1 km]",
TR,Bandırma Karat power station,cancelled,bb2453b0-c76d-40ea-bcc4-870391f05b2f,0.92,,0.92,0.92,3,78.67,comment_buildable_x_fav_pct,low,,0.92,favourable>>contiguous,source=osm_overpass; osm_id=way/1465320031; tags=[landuse=industrial]; dist=1.41km; candidates=5,
PL,Leczna Power Station (Bogdanka SA),cancelled,0b187a1d-55de-47cf-96a3-06abc8ff2476,1.01,,1.01,1.01,12,75.29,comment_buildable_x_fav_pct,low,,1.01,favourable>>contiguous,source=osm_overpass; osm_id=way/298736014; tags=[landuse=industrial]; dist=0.86km; candidates=3 [CORINE ref: 84.6 ha developable in 0–1 km],
