count,criterion_id,max,mean,median,metric,min,nulls,p05,p25,p75,p95,rows,stdev,value,zeros
361,HI-07,968.0,114.5595567867036,46.0,transmitter_count,3.0,1,11.0,26.0,155.0,446.0,362,137.62704201259413,,0
361,HI-07,17.92,2.414903047091413,1.27,nearest_transmitter_km,0.0,1,0.17,0.39,3.57,8.25,362,2.9217313272967718,,1
0,HI-07,,,,transmitter_type,,1,,,,,362,,,0
0,HI-07,,,,hi07_quality,,1,,,,,362,,,0
0,HI-07,,,,hi07_comment,,1,,,,,362,,,0
0,HI-07,,,,human_run_id,,0,,,,,362,,,0
0,HI-07,,,,human_fetched_at,,0,,,,,362,,,0
362,HI-07,,,,baseline_quality_flag,,,,,,,,,<null>,
361,HI-07,,,,candidate_quality_flag,,,,,,,,,scored,
1,HI-07,,,,candidate_quality_flag,,,,,,,,,unscored,
85,HI-07,,,,candidate_band,,,,,,,,,Dense or near transmitter proxy: >25 features in radius or nearest feature < 5 km. Review RF/EMI controls.,
7,HI-07,,,,candidate_band,,,,,,,,,Low RF-density proxy: at most ten transmitter-like features and none measured within 5 km.,
31,HI-07,,,,candidate_band,,,,,,,,,Scoreable ordinary RF environment from count/proximity evidence; power-class-specific severity deferred.,
2,HI-07,,,,candidate_band,,,,,,,,,Sparse and distant transmitter proxy: at most five transmitter-like features and none measured within 10 km.,
236,HI-07,,,,candidate_band,,,,,,,,,Very dense or nearby transmitter proxy: >100 transmitter-like features in radius or nearest feature < 2 km. Power class not measured.,
1,HI-07,,,,candidate_band,,,,,,,,,no_band_matched — pass-mark default (unscored),
362,HI-07,9.5,2.4820441988950277,1.5,candidate_score,1.5,,1.5,1.5,3.5,5.5,,1.5605358899970945,,
362,NH-10,14.44,9.06378453038674,9.145,max_wind_speed_ms,5.41,0,6.148000000000001,7.49,10.43,11.867499999999998,362,1.810845531217882,,0
0,NH-10,,,,nh10_quality,,0,,,,,362,,,0
0,NH-10,,,,nh10_comment,,0,,,,,362,,,0
0,NH-10,,,,natural_run_id,,0,,,,,362,,,0
0,NH-10,,,,natural_fetched_at,,0,,,,,362,,,0
362,NH-10,,,,baseline_quality_flag,,,,,,,,,<null>,
362,NH-10,,,,candidate_quality_flag,,,,,,,,,scored,
75,NH-10,,,,candidate_band,,,,,,,,,Higher relative wind exposure in the current smoothed ERA5 cohort (10.5-12.5 m/s).,
8,NH-10,,,,candidate_band,,,,,,,,,"Highest relative or out-of-cohort exposure for the current proxy; 49 m/s remains design-envelope review, not validated by this metric.",
87,NH-10,,,,candidate_band,,,,,,,,,Lower-middle relative wind exposure in the current smoothed ERA5 cohort (7.5-9.0 m/s).,
92,NH-10,,,,candidate_band,,,,,,,,,Lowest relative wind exposure in the current ERA5 monthly-means gust cohort (< 7.5 m/s).,
100,NH-10,,,,candidate_band,,,,,,,,,Middle relative wind exposure around the observed cohort mean (9.0-10.5 m/s).,
362,NH-10,9.5,6.494475138121547,5.5,candidate_score,1.5,,3.5,5.5,9.5,9.5,,2.288105429183464,,
362,NH-12,33.32,25.308066298342542,25.425,extreme_temp_max_c,19.54,0,21.153,23.035,27.44,29.86,362,2.77930233299586,,0
362,NH-12,7.93,-3.4103867403314916,-5.225,extreme_temp_min_c,-12.29,0,-9.94,-7.5600000000000005,1.48,6.02,362,5.184267150600822,,0
0,NH-12,,,,nh12_quality,,0,,,,,362,,,0
0,NH-12,,,,nh12_comment,,0,,,,,362,,,0
0,NH-12,,,,natural_run_id,,0,,,,,362,,,0
0,NH-12,,,,natural_fetched_at,,0,,,,,362,,,0
362,NH-12,,,,baseline_quality_flag,,,,,,,,,<null>,
362,NH-12,,,,candidate_quality_flag,,,,,,,,,scored,
362,NH-12,,,,candidate_band,,,,,,,,,aggregated(mean_of_sub_scores),
362,NH-12,8.5,6.624309392265193,6.5,candidate_score,3.5,,5.5,6.5,7.5,7.5,,0.7962969652835877,,
