criterion_a,criterion_b,pearson,spearman,max_abs,n_pairs,flagged
HI-02,HI-04,0.9479,0.8668,0.9479,360,True
NH-08,NH-14,0.8078,0.6505,0.8078,360,True
BF-02,NS-05,0.6271,0.6655,0.6655,360,False
NH-01,NS-08,-0.651,-0.6355,0.651,360,False
NS-01,RI-02,0.6343,0.6353,0.6353,360,False
RI-04,RI-05,0.607,0.6351,0.6351,360,False
NH-01,NH-07,0.5744,0.6331,0.6331,360,False
EP-04,RI-04,0.5996,0.6069,0.6069,360,False
NH-07,NS-08,-0.5898,-0.6061,0.6061,360,False
EP-04,RI-05,0.5729,0.5907,0.5907,360,False
BF-01,NS-02,0.5871,0.5804,0.5871,360,False
NS-01,NS-08,-0.5697,-0.583,0.583,360,False
NH-01,NH-02,0.4774,0.55,0.55,360,False
EP-02,EP-04,-0.5412,-0.5305,0.5412,360,False
NH-01,NH-14,0.5009,0.5278,0.5278,360,False
NH-07,NS-01,0.4916,0.5149,0.5149,360,False
HI-03,NH-01,-0.3857,-0.4955,0.4955,360,False
EP-01,RI-04,0.4851,0.4942,0.4942,360,False
EP-04,HI-06,0.4922,0.4904,0.4922,360,False
NH-14,NS-08,-0.4425,-0.4826,0.4826,360,False
NH-07,NH-14,0.3795,0.4591,0.4591,360,False
EP-02,RI-05,-0.4432,-0.455,0.455,360,False
HI-07,NH-07,-0.4064,-0.4425,0.4425,360,False
EP-04,HI-01,0.4183,0.4382,0.4382,360,False
NH-01,NS-01,0.4104,0.4352,0.4352,360,False
NH-14,NS-01,0.3792,0.4342,0.4342,360,False
EP-02,RI-04,-0.4305,-0.431,0.431,360,False
HI-06,RI-04,0.3881,0.4293,0.4293,360,False
HI-07,NH-01,-0.3857,-0.4263,0.4263,360,False
NH-01,NS-04,0.4115,0.4136,0.4136,360,False
HI-06,NH-01,-0.3874,-0.4132,0.4132,360,False
NS-04,RI-04,-0.409,-0.413,0.413,360,False
NH-14,RI-06,0.3814,0.4118,0.4118,360,False
EP-04,NH-01,-0.4066,-0.3777,0.4066,360,False
NS-08,RI-06,-0.4052,-0.3639,0.4052,360,False
HI-01,RI-04,0.3953,0.3947,0.3953,360,False
HI-06,NH-07,-0.3941,-0.385,0.3941,360,False
HI-03,NS-08,0.3463,0.3928,0.3928,360,False
NH-03,NH-04,-0.3869,-0.3695,0.3869,360,False
HI-06,NS-08,0.3849,0.354,0.3849,360,False
EP-04,NH-07,-0.38,-0.3609,0.38,360,False
EP-04,HI-07,0.3769,0.3684,0.3769,360,False
NS-08,RI-02,-0.375,-0.3686,0.375,360,False
HI-06,RI-05,0.3347,0.3741,0.3741,360,False
NH-05,NH-14,-0.3249,-0.3721,0.3721,360,False
EP-04,NS-04,-0.3698,-0.3703,0.3703,360,False
HI-07,NS-08,0.342,0.3701,0.3701,360,False
HI-06,HI-07,0.3625,0.3658,0.3658,360,False
HI-03,NH-07,-0.2973,-0.3643,0.3643,360,False
HI-01,NH-01,-0.3469,-0.3624,0.3624,360,False
NH-02,NH-14,0.2017,0.3583,0.3583,360,False
NH-05,NS-08,0.3484,0.3557,0.3557,360,False
NH-01,NH-05,-0.345,-0.3551,0.3551,360,False
EP-04,NS-08,0.3527,0.3382,0.3527,360,False
HI-01,HI-06,0.3501,0.3489,0.3501,360,False
EP-04,HI-03,0.2876,0.3501,0.3501,360,False
NH-08,NS-04,0.3498,0.3024,0.3498,360,False
NH-14,NS-04,0.3477,0.3213,0.3477,360,False
NH-01,NH-08,0.3447,0.3468,0.3468,360,False
NH-05,NH-07,-0.3162,-0.3465,0.3465,360,False
EP-02,NH-01,0.3464,0.3364,0.3464,360,False
HI-01,NH-07,-0.3239,-0.3424,0.3424,360,False
HI-03,NS-04,-0.3051,-0.3423,0.3423,360,False
EP-02,HI-01,-0.3127,-0.3415,0.3415,360,False
