country_code,smr_key,weight_profile,scenario_family,n_pairs,mean_abs_rank_delta,max_abs_rank_delta,spearman_rho,top1_changed,top3_jaccard,top5_jaccard,small_n
AT,nuscale_voygr6,mc_50000,mc_summary,6,0.3333,1,0.9429,False,1.0,1.0,False
BA,nuscale_voygr6,mc_50000,mc_summary,6,0.3333,1,0.9429,False,1.0,1.0,False
BG,nuscale_voygr6,mc_50000,mc_summary,8,0.5,1,0.9524,False,1.0,1.0,False
BY,nuscale_voygr6,mc_50000,mc_summary,2,0.0,0,1.0,False,1.0,1.0,True
CZ,nuscale_voygr6,mc_50000,mc_summary,29,1.6552,4,0.9675,True,0.5,0.6667,False
HR,nuscale_voygr6,mc_50000,mc_summary,1,0.0,0,,False,1.0,1.0,True
HU,nuscale_voygr6,mc_50000,mc_summary,11,0.5455,2,0.9636,False,0.5,1.0,False
LV,nuscale_voygr6,mc_50000,mc_summary,1,0.0,0,,False,1.0,1.0,True
MD,nuscale_voygr6,mc_50000,mc_summary,1,0.0,0,,False,1.0,1.0,True
ME,nuscale_voygr6,mc_50000,mc_summary,2,1.0,1,-1.0,True,1.0,1.0,True
MK,nuscale_voygr6,mc_50000,mc_summary,3,0.0,0,1.0,False,1.0,1.0,False
PL,nuscale_voygr6,mc_50000,mc_summary,61,3.3443,11,0.9729,False,0.2,0.1111,False
RO,nuscale_voygr6,mc_50000,mc_summary,22,1.8182,6,0.9289,False,0.5,0.6667,False
RS,nuscale_voygr6,mc_50000,mc_summary,7,2.0,6,0.0357,True,0.5,0.6667,False
SK,nuscale_voygr6,mc_50000,mc_summary,5,0.0,0,1.0,False,1.0,1.0,False
TR,nuscale_voygr6,mc_50000,mc_summary,119,6.0168,23,0.9736,False,1.0,0.6667,False
UA,nuscale_voygr6,mc_50000,mc_summary,20,1.5,3,0.9534,True,1.0,0.6667,False
AT,nuscale_voygr6,w_EP_minus_20,weight,6,0.0,0,1.0,False,1.0,1.0,False
BA,nuscale_voygr6,w_EP_minus_20,weight,6,0.0,0,1.0,False,1.0,1.0,False
BG,nuscale_voygr6,w_EP_minus_20,weight,8,0.0,0,1.0,False,1.0,1.0,False
BY,nuscale_voygr6,w_EP_minus_20,weight,2,0.0,0,1.0,False,1.0,1.0,True
CZ,nuscale_voygr6,w_EP_minus_20,weight,29,0.069,1,0.9995,False,1.0,1.0,False
HR,nuscale_voygr6,w_EP_minus_20,weight,1,0.0,0,,False,1.0,1.0,True
HU,nuscale_voygr6,w_EP_minus_20,weight,11,0.3636,2,0.9727,False,1.0,1.0,False
LV,nuscale_voygr6,w_EP_minus_20,weight,1,0.0,0,,False,1.0,1.0,True
MD,nuscale_voygr6,w_EP_minus_20,weight,1,0.0,0,,False,1.0,1.0,True
ME,nuscale_voygr6,w_EP_minus_20,weight,2,1.0,1,-1.0,True,1.0,1.0,True
MK,nuscale_voygr6,w_EP_minus_20,weight,3,0.0,0,1.0,False,1.0,1.0,False
PL,nuscale_voygr6,w_EP_minus_20,weight,61,0.623,3,0.9984,False,0.5,1.0,False
RO,nuscale_voygr6,w_EP_minus_20,weight,22,0.2727,2,0.9944,False,1.0,1.0,False
RS,nuscale_voygr6,w_EP_minus_20,weight,7,0.0,0,1.0,False,1.0,1.0,False
SK,nuscale_voygr6,w_EP_minus_20,weight,5,0.0,0,1.0,False,1.0,1.0,False
TR,nuscale_voygr6,w_EP_minus_20,weight,119,1.2101,7,0.9984,False,1.0,0.6667,False
UA,nuscale_voygr6,w_EP_minus_20,weight,20,0.2,2,0.9955,False,1.0,1.0,False
AT,nuscale_voygr6,w_EP_plus_20,weight,6,0.3333,1,0.9429,False,1.0,1.0,False
BA,nuscale_voygr6,w_EP_plus_20,weight,6,0.0,0,1.0,False,1.0,1.0,False
BG,nuscale_voygr6,w_EP_plus_20,weight,8,0.0,0,1.0,False,1.0,1.0,False
BY,nuscale_voygr6,w_EP_plus_20,weight,2,0.0,0,1.0,False,1.0,1.0,True
CZ,nuscale_voygr6,w_EP_plus_20,weight,29,0.2759,2,0.997,False,1.0,0.6667,False
HR,nuscale_voygr6,w_EP_plus_20,weight,1,0.0,0,,False,1.0,1.0,True
HU,nuscale_voygr6,w_EP_plus_20,weight,11,0.1818,1,0.9909,False,1.0,1.0,False
LV,nuscale_voygr6,w_EP_plus_20,weight,1,0.0,0,,False,1.0,1.0,True
MD,nuscale_voygr6,w_EP_plus_20,weight,1,0.0,0,,False,1.0,1.0,True
ME,nuscale_voygr6,w_EP_plus_20,weight,2,0.0,0,1.0,False,1.0,1.0,True
MK,nuscale_voygr6,w_EP_plus_20,weight,3,0.0,0,1.0,False,1.0,1.0,False
PL,nuscale_voygr6,w_EP_plus_20,weight,61,0.3934,3,0.9988,False,1.0,1.0,False
RO,nuscale_voygr6,w_EP_plus_20,weight,22,0.0,0,1.0,False,1.0,1.0,False
RS,nuscale_voygr6,w_EP_plus_20,weight,7,0.0,0,1.0,False,1.0,1.0,False
SK,nuscale_voygr6,w_EP_plus_20,weight,5,0.0,0,1.0,False,1.0,1.0,False
TR,nuscale_voygr6,w_EP_plus_20,weight,119,1.0756,8,0.9986,False,0.5,1.0,False
UA,nuscale_voygr6,w_EP_plus_20,weight,20,0.1,1,0.9985,False,1.0,1.0,False
AT,nuscale_voygr6,w_HI_minus_20,weight,6,0.3333,1,0.9429,False,1.0,1.0,False
BA,nuscale_voygr6,w_HI_minus_20,weight,6,0.3333,1,0.9429,False,0.5,1.0,False
BG,nuscale_voygr6,w_HI_minus_20,weight,8,0.5,1,0.9524,False,1.0,1.0,False
BY,nuscale_voygr6,w_HI_minus_20,weight,2,0.0,0,1.0,False,1.0,1.0,True
CZ,nuscale_voygr6,w_HI_minus_20,weight,29,0.2069,1,0.9985,False,1.0,1.0,False
HR,nuscale_voygr6,w_HI_minus_20,weight,1,0.0,0,,False,1.0,1.0,True
HU,nuscale_voygr6,w_HI_minus_20,weight,11,0.0,0,1.0,False,1.0,1.0,False
LV,nuscale_voygr6,w_HI_minus_20,weight,1,0.0,0,,False,1.0,1.0,True
MD,nuscale_voygr6,w_HI_minus_20,weight,1,0.0,0,,False,1.0,1.0,True
ME,nuscale_voygr6,w_HI_minus_20,weight,2,1.0,1,-1.0,True,1.0,1.0,True
MK,nuscale_voygr6,w_HI_minus_20,weight,3,0.0,0,1.0,False,1.0,1.0,False
PL,nuscale_voygr6,w_HI_minus_20,weight,61,0.623,3,0.9983,False,0.5,0.6667,False
RO,nuscale_voygr6,w_HI_minus_20,weight,22,0.1818,1,0.9977,False,1.0,1.0,False
RS,nuscale_voygr6,w_HI_minus_20,weight,7,0.5714,1,0.9286,False,1.0,1.0,False
SK,nuscale_voygr6,w_HI_minus_20,weight,5,0.0,0,1.0,False,1.0,1.0,False
TR,nuscale_voygr6,w_HI_minus_20,weight,119,1.6134,9,0.9979,False,0.5,1.0,False
UA,nuscale_voygr6,w_HI_minus_20,weight,20,0.0,0,1.0,False,1.0,1.0,False
AT,nuscale_voygr6,w_HI_plus_20,weight,6,0.3333,1,0.9429,False,0.5,1.0,False
BA,nuscale_voygr6,w_HI_plus_20,weight,6,0.0,0,1.0,False,1.0,1.0,False
BG,nuscale_voygr6,w_HI_plus_20,weight,8,0.0,0,1.0,False,1.0,1.0,False
BY,nuscale_voygr6,w_HI_plus_20,weight,2,0.0,0,1.0,False,1.0,1.0,True
CZ,nuscale_voygr6,w_HI_plus_20,weight,29,0.2069,1,0.9985,False,1.0,1.0,False
HR,nuscale_voygr6,w_HI_plus_20,weight,1,0.0,0,,False,1.0,1.0,True
HU,nuscale_voygr6,w_HI_plus_20,weight,11,0.3636,2,0.9636,False,1.0,1.0,False
LV,nuscale_voygr6,w_HI_plus_20,weight,1,0.0,0,,False,1.0,1.0,True
MD,nuscale_voygr6,w_HI_plus_20,weight,1,0.0,0,,False,1.0,1.0,True
ME,nuscale_voygr6,w_HI_plus_20,weight,2,0.0,0,1.0,False,1.0,1.0,True
MK,nuscale_voygr6,w_HI_plus_20,weight,3,0.0,0,1.0,False,1.0,1.0,False
PL,nuscale_voygr6,w_HI_plus_20,weight,61,0.6885,4,0.9982,False,1.0,1.0,False
RO,nuscale_voygr6,w_HI_plus_20,weight,22,0.1818,2,0.9955,False,1.0,1.0,False
RS,nuscale_voygr6,w_HI_plus_20,weight,7,0.2857,1,0.9643,False,1.0,0.6667,False
SK,nuscale_voygr6,w_HI_plus_20,weight,5,0.0,0,1.0,False,1.0,1.0,False
TR,nuscale_voygr6,w_HI_plus_20,weight,119,1.3613,10,0.998,False,1.0,0.6667,False
UA,nuscale_voygr6,w_HI_plus_20,weight,20,0.3,1,0.9955,False,0.5,1.0,False
AT,nuscale_voygr6,w_NH_minus_20,weight,6,0.0,0,1.0,False,1.0,1.0,False
BA,nuscale_voygr6,w_NH_minus_20,weight,6,0.0,0,1.0,False,1.0,1.0,False
BG,nuscale_voygr6,w_NH_minus_20,weight,8,0.0,0,1.0,False,1.0,1.0,False
BY,nuscale_voygr6,w_NH_minus_20,weight,2,0.0,0,1.0,False,1.0,1.0,True
CZ,nuscale_voygr6,w_NH_minus_20,weight,29,0.3448,2,0.9966,False,1.0,1.0,False
HR,nuscale_voygr6,w_NH_minus_20,weight,1,0.0,0,,False,1.0,1.0,True
