site_id,site_name,country_code,smr_key,criterion_id,code,action,metric,value,threshold,margin,margin_norm,severity
e6ecead0-54d1-41fe-8268-1253d0d7ef3e,Porto Romano Power Station,AL,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,3.31,8.0,-4.6899999999999995,-0.5862499999999999,critical
e6ecead0-54d1-41fe-8268-1253d0d7ef3e,Porto Romano Power Station,AL,nuscale_voygr6,NH-03,E2,exclude_floor,,,,,,floor
021c723b-98af-4b72-8f6c-ade538885f10,St Andrae power station,AT,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,3.24,8.0,-4.76,-0.595,critical
33d83e11-cfcd-47cb-be5e-82ca0fc352cc,Zeltweg power station,AT,nuscale_voygr6,NH-04,E3,exclude,slope_angle_deg,26.02,25,1.0199999999999996,0.04079999999999998,trivial
0155b913-765f-4d44-89f5-c176b6867cef,Kongora Thermal Power Plant,BA,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,3.56,8.0,-4.4399999999999995,-0.5549999999999999,critical
0fb50bcc-5616-40d8-9109-8136a958f18d,Tuzla Thermal Power Plant,BA,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,1.65,8.0,-6.35,-0.79375,critical
67e5a20f-e3ab-4c18-9864-cf4591d6e15f,Bugojno Thermal Power Project,BA,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,1.03,8.0,-6.97,-0.87125,critical
e2d645e3-c829-4aac-8f6f-d6a5507fd5fa,Glinica power station,BA,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,3.05,8.0,-4.95,-0.61875,critical
e671be33-8b91-40bd-b563-b833293654aa,Kakanj Thermal Power Plant,BA,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,3.19,8.0,-4.8100000000000005,-0.6012500000000001,critical
0e860f58-416b-4116-836d-04edf8ded225,Maritsa Iztok-3 power station,BG,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,3.98,8.0,-4.02,-0.5025,critical
398cc0f2-25d5-428a-93c9-5e4859680e86,Deven power station,BG,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,1.05,8.0,-6.95,-0.86875,critical
85c56b15-450b-4bb1-b75e-5ea00ee51cb2,Varna power station,BG,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,2.27,8.0,-5.73,-0.71625,critical
93685558-3355-4da2-9a4a-4cccd89f9269,Sliven power station,BG,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,1.39,8.0,-6.61,-0.82625,critical
b1bcb7d3-cd40-40c9-9c59-a01fa71053b3,Maritsa Iztok-4 power station,BG,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,4.05,8.0,-3.95,-0.49375,severe
d12d7173-8595-4b53-92af-75b44b5a2fb7,Maritsa Iztok-1 power station,BG,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,3.33,8.0,-4.67,-0.58375,critical
fee1d5b3-827f-4172-8492-a3e114a3c39e,Brikel power station,BG,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,3.65,8.0,-4.35,-0.54375,critical
85c56b15-450b-4bb1-b75e-5ea00ee51cb2,Varna power station,BG,nuscale_voygr6,NS-08,E7,exclude,,,,,,
