country_code,smr_key,rank,site_id,site_name,composite_score,composite_score_low,composite_score_high,qualification_mode,family_scores_json
AT,nuscale_voygr6,1,660d9d71-6733-4294-951b-1c58614d58cf,Riedersbach power station,7.159,6.361,7.65,normal,"{""categories"": {""EP"": 6.68, ""HI"": 7.21, ""NH"": 8.16, ""NS"": 5.96, ""RI"": 7.29}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
AT,nuscale_voygr6,2,2dcd2c6d-f375-4408-9492-7910662fac03,Timelkam power station,7.016,6.245,7.487,normal,"{""categories"": {""EP"": 4.32, ""HI"": 7.41, ""NH"": 7.8, ""NS"": 6.7, ""RI"": 7.29}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
AT,nuscale_voygr6,3,532bfb42-0d4c-42cf-a81a-287f2b3a75bf,Enns Power Station,6.616,5.922,7.156,normal,"{""categories"": {""EP"": 5.97, ""HI"": 5.81, ""NH"": 8.02, ""NS"": 7.84, ""RI"": 4.21}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
AT,nuscale_voygr6,4,99d712ac-7993-4186-8a0e-2e88bae7e90f,Voitsberg power station,6.559,5.876,7.05,normal,"{""categories"": {""EP"": 5.97, ""HI"": 7.21, ""NH"": 7.18, ""NS"": 5.96, ""RI"": 5.86}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
AT,nuscale_voygr6,5,6e7fc4d8-636d-411a-baef-e138a5a07acc,Duernrohr power station,6.544,5.864,7.081,normal,"{""categories"": {""EP"": 7.38, ""HI"": 5.77, ""NH"": 7.13, ""NS"": 8.59, ""RI"": 3.5}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
AT,nuscale_voygr6,6,90820fe3-9889-4faf-9906-7c528f8d7bc5,Mellach power station,6.347,5.705,6.837,normal,"{""categories"": {""EP"": 5.97, ""HI"": 5.67, ""NH"": 7.67, ""NS"": 6.47, ""RI"": 5.14}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
BA,nuscale_voygr6,1,85257083-08d1-4560-b198-a9df414da4a9,Gacko Thermal Power Plant,6.951,6.073,7.442,normal,"{""categories"": {""EP"": 4.32, ""HI"": 9.36, ""NH"": 5.93, ""NS"": 6.53, ""RI"": 8.21}, ""notes"": [""high_unscored_fraction""], ""unscored_fraction"": 0.2222}"
BA,nuscale_voygr6,2,e75c63e5-ef2f-4e08-8f8c-3da41215af9d,Stanari Thermal Power Plant,6.747,6.028,7.237,normal,"{""categories"": {""EP"": 5.26, ""HI"": 7.9, ""NH"": 6.47, ""NS"": 5.96, ""RI"": 7.64}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
BA,nuscale_voygr6,3,aa0bdb5e-45aa-4d15-8aee-cb5b0e14f5d9,Miljevina power station,6.622,5.927,7.131,normal,"{""categories"": {""EP"": 5.26, ""HI"": 8.13, ""NH"": 5.76, ""NS"": 5.61, ""RI"": 8.21}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
BA,nuscale_voygr6,4,344e0e9a-558e-4749-bb66-cd746be50cbd,Kamengrad Thermal Power Plant,6.572,5.886,7.131,normal,"{""categories"": {""EP"": 5.26, ""HI"": 6.93, ""NH"": 6.78, ""NS"": 6.19, ""RI"": 7.07}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
