country_code,n_sites,n_pairs,survived,hard_only,floor_only,both,n_sites_with_survivor,mean_composite,p10_composite,p90_composite
TR,146,146,119,27,0,0,119,6.422134453781513,5.741,7.116
PL,63,63,61,2,0,0,61,6.311016393442623,5.603,7.153
CZ,29,29,29,0,0,0,29,6.320413793103448,5.701,6.931
RO,23,23,22,1,0,0,22,6.341181818181818,5.428,7.114
UA,20,20,20,0,0,0,20,6.5844,5.921,7.197
BG,15,15,8,7,0,0,8,6.819,5.875,7.428
BA,11,11,6,5,0,0,6,6.5473333333333334,5.934,6.747
HU,11,11,11,0,0,0,11,6.270636363636363,5.405,6.941
AT,8,8,6,2,0,0,6,6.706833333333333,6.347,7.016
RS,8,8,7,1,0,0,7,6.5842857142857145,6.453,6.716
SK,6,6,5,1,0,0,5,6.547,5.691,6.978
ME,4,4,2,2,0,0,2,6.023,6.023,6.023
MK,4,4,3,1,0,0,3,6.566666666666666,6.181,6.812
XK,4,4,0,4,0,0,0,,,
SI,3,3,0,3,0,0,0,,,
BY,2,2,2,0,0,0,2,7.1845,6.991,7.378
HR,2,2,1,1,0,0,1,6.214,6.214,6.214
AL,1,1,0,0,0,1,0,,,
LV,1,1,1,0,0,0,1,6.603,6.603,6.603
MD,1,1,1,0,0,0,1,6.959,6.959,6.959
