country_code,n_sites_total,n_sites_passed,criterion_id,code,metric,units,n_eliminated,median_gap,p90_gap,max_gap,examples_json
TR,146,119,NH-02,E1,nearest_fault_km,,25,-6.54,-3.9400000000000004,-3.7800000000000002,"[{""gap"": -7.6, ""gap_norm"": -0.95, ""severity"": ""critical"", ""site_id"": ""a70bbc9a-1469-4d56-be56-f282ed4130a8"", ""site_name"": ""Deniz power station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": 8.0, ""value"": 0.4}, {""gap"": -7.6, ""gap_norm"": -0.95, ""severity"": ""critical"", ""site_id"": ""bcb86777-4a54-4891-bb26-35b201bbd57d"", ""site_name"": ""Alia\u011fa Enka power station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": 8.0, ""value"": 0.4}, {""gap"": -7.59, ""gap_norm"": -0.94875, ""severity"": ""critical"", ""site_id"": ""8e7f6abf-e420-4f40-b9da-9ea76ccedfb1"", ""site_name"": ""Kemerk\u00f6y power station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": 8.0, ""value"": 0.41}]"
TR,146,119,EP-01,E8,ep01_composite_score,,1,-0.1999999999999993,-0.1999999999999993,-0.1999999999999993,"[{""gap"": -0.1999999999999993, ""gap_norm"": -0.006666666666666643, ""severity"": ""trivial"", ""site_id"": ""28c80d72-dd9e-4fbf-a2c7-d48d49ca61dc"", ""site_name"": ""Demirta\u015f power station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": 30, ""value"": 29.8}]"
TR,146,119,NH-04,E3,slope_angle_deg,,1,6.48,6.48,6.48,"[{""gap"": 6.48, ""gap_norm"": 0.25920000000000004, ""severity"": ""severe"", ""site_id"": ""e05ff795-8984-4170-9874-5355b70985b1"", ""site_name"": ""Silopi (\u015e\u0131rnak) power station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": 25, ""value"": 31.48}]"
PL,63,61,EP-01,E8,ep01_composite_score,,2,-5.699999999999999,-5.600000000000001,-5.600000000000001,"[{""gap"": -5.699999999999999, ""gap_norm"": -0.18999999999999997, ""severity"": ""minor"", ""site_id"": ""9f4a0d6c-e2fa-4e9b-b412-d779d4abf82c"", ""site_name"": ""Bydgoszcz power station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": 30, ""value"": 24.3}, {""gap"": -5.600000000000001, ""gap_norm"": -0.1866666666666667, ""severity"": ""minor"", ""site_id"": ""d40cdaf1-49e4-4c59-a6c8-2402cd2bf006"", ""site_name"": ""Zeran power station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": 30, ""value"": 24.4}]"
RO,23,22,EP-01,E8,ep01_composite_score,,1,-3.3999999999999986,-3.3999999999999986,-3.3999999999999986,"[{""gap"": -3.3999999999999986, ""gap_norm"": -0.11333333333333329, ""severity"": ""minor"", ""site_id"": ""729f8d17-57c0-4d9a-adab-4b612d4abde5"", ""site_name"": ""Brasov power station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": 30, ""value"": 26.6}]"
BG,15,8,NH-02,E1,nearest_fault_km,,7,-4.67,-4.02,-3.95,"[{""gap"": -6.95, ""gap_norm"": -0.86875, ""severity"": ""critical"", ""site_id"": ""398cc0f2-25d5-428a-93c9-5e4859680e86"", ""site_name"": ""Deven power station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": 8.0, ""value"": 1.05}, {""gap"": -6.61, ""gap_norm"": -0.82625, ""severity"": ""critical"", ""site_id"": ""93685558-3355-4da2-9a4a-4cccd89f9269"", ""site_name"": ""Sliven power station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": 8.0, ""value"": 1.39}, {""gap"": -5.73, ""gap_norm"": -0.71625, ""severity"": ""critical"", ""site_id"": ""85c56b15-450b-4bb1-b75e-5ea00ee51cb2"", ""site_name"": ""Varna power station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": 8.0, ""value"": 2.27}]"
BG,15,8,NS-08,E7,,,1,,,,"[{""gap"": null, ""gap_norm"": null, ""severity"": null, ""site_id"": ""85c56b15-450b-4bb1-b75e-5ea00ee51cb2"", ""site_name"": ""Varna power station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": null, ""value"": null}]"
BA,11,6,NH-02,E1,nearest_fault_km,,5,-6.35,-4.8100000000000005,-4.4399999999999995,"[{""gap"": -6.97, ""gap_norm"": -0.87125, ""severity"": ""critical"", ""site_id"": ""67e5a20f-e3ab-4c18-9864-cf4591d6e15f"", ""site_name"": ""Bugojno Thermal Power Project"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": 8.0, ""value"": 1.03}, {""gap"": -6.35, ""gap_norm"": -0.79375, ""severity"": ""critical"", ""site_id"": ""0fb50bcc-5616-40d8-9109-8136a958f18d"", ""site_name"": ""Tuzla Thermal Power Plant"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": 8.0, ""value"": 1.65}, {""gap"": -4.95, ""gap_norm"": -0.61875, ""severity"": ""critical"", ""site_id"": ""e2d645e3-c829-4aac-8f6f-d6a5507fd5fa"", ""site_name"": ""Glinica power station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": 8.0, ""value"": 3.05}]"
AT,8,6,NH-02,E1,nearest_fault_km,,1,-4.76,-4.76,-4.76,"[{""gap"": -4.76, ""gap_norm"": -0.595, ""severity"": ""critical"", ""site_id"": ""021c723b-98af-4b72-8f6c-ade538885f10"", ""site_name"": ""St Andrae power station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": 8.0, ""value"": 3.24}]"
AT,8,6,NH-04,E3,slope_angle_deg,,1,1.0199999999999996,1.0199999999999996,1.0199999999999996,"[{""gap"": 1.0199999999999996, ""gap_norm"": 0.04079999999999998, ""severity"": ""trivial"", ""site_id"": ""33d83e11-cfcd-47cb-be5e-82ca0fc352cc"", ""site_name"": ""Zeltweg power station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": 25, ""value"": 26.02}]"
RS,8,7,NH-02,E1,nearest_fault_km,,1,-4.1,-4.1,-4.1,"[{""gap"": -4.1, ""gap_norm"": -0.5125, ""severity"": ""critical"", ""site_id"": ""5d53da59-04c8-43e6-b29e-220bea4d9eb7"", ""site_name"": ""Despotovac power station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": 8.0, ""value"": 3.9}]"
SK,6,5,EP-01,E8,ep01_composite_score,,1,-11.5,-11.5,-11.5,"[{""gap"": -11.5, ""gap_norm"": -0.38333333333333336, ""severity"": ""severe"", ""site_id"": ""66edd8f5-e60a-412d-9b80-56496d1407b1"", ""site_name"": ""Kosice power station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": 30, ""value"": 18.5}]"
ME,4,2,NH-02,E1,nearest_fault_km,,2,-7.91,-4.0600000000000005,-4.0600000000000005,"[{""gap"": -7.91, ""gap_norm"": -0.98875, ""severity"": ""critical"", ""site_id"": ""a9385c82-79b7-4f8d-b609-0a12ed946fe6"", ""site_name"": ""Pljevlja power station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": 8.0, ""value"": 0.09}, {""gap"": -4.0600000000000005, ""gap_norm"": -0.5075000000000001, ""severity"": ""critical"", ""site_id"": ""a851b5f3-8392-4766-82b9-379c6c04fe5d"", ""site_name"": ""Maoce Power Station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": 8.0, ""value"": 3.94}]"
ME,4,2,NS-08,E7,,,1,,,,"[{""gap"": null, ""gap_norm"": null, ""severity"": null, ""site_id"": ""a9385c82-79b7-4f8d-b609-0a12ed946fe6"", ""site_name"": ""Pljevlja power station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": null, ""value"": null}]"
MK,4,3,NS-08,E7,,,1,,,,"[{""gap"": null, ""gap_norm"": null, ""severity"": null, ""site_id"": ""7bff5ef2-646d-4b83-83b0-7f3da32f0254"", ""site_name"": ""Mariovo power station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": null, ""value"": null}]"
XK,4,0,NH-02,E1,nearest_fault_km,,4,-5.71,-4.470000000000001,-4.470000000000001,"[{""gap"": -7.05, ""gap_norm"": -0.88125, ""severity"": ""critical"", ""site_id"": ""d9f32912-81f1-4b1c-a2b1-f04298217cec"", ""site_name"": ""Istok power station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": 8.0, ""value"": 0.95}, {""gap"": -5.71, ""gap_norm"": -0.71375, ""severity"": ""critical"", ""site_id"": ""76eba99c-dade-46dc-9130-478e43aa6202"", ""site_name"": ""Kosovo B power station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": 8.0, ""value"": 2.29}, {""gap"": -4.68, ""gap_norm"": -0.585, ""severity"": ""critical"", ""site_id"": ""d28fa85d-4f6c-4b26-a585-cb0bed226ecb"", ""site_name"": ""Kosovo C power station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": 8.0, ""value"": 3.32}]"
SI,3,0,NH-02,E1,nearest_fault_km,,3,-6.67,-5.55,-5.55,"[{""gap"": -7.75, ""gap_norm"": -0.96875, ""severity"": ""critical"", ""site_id"": ""0750b80c-a54b-4ea5-b3e5-9dfb7309eca2"", ""site_name"": ""Sostanj power station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": 8.0, ""value"": 0.25}, {""gap"": -6.67, ""gap_norm"": -0.83375, ""severity"": ""critical"", ""site_id"": ""4cf7f820-7ad9-411e-bf39-2bbef290aaf6"", ""site_name"": ""Te-Tol power station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": 8.0, ""value"": 1.33}, {""gap"": -5.55, ""gap_norm"": -0.69375, ""severity"": ""critical"", ""site_id"": ""008a3366-6f56-4c1a-ac5d-6b0c75b7c7fd"", ""site_name"": ""Trbovlje power station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": 8.0, ""value"": 2.45}]"
SI,3,0,NH-04,E3,slope_angle_deg,,1,2.25,2.25,2.25,"[{""gap"": 2.25, ""gap_norm"": 0.09, ""severity"": ""minor"", ""site_id"": ""008a3366-6f56-4c1a-ac5d-6b0c75b7c7fd"", ""site_name"": ""Trbovlje power station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": 25, ""value"": 27.25}]"
HR,2,1,NH-02,E1,nearest_fault_km,,1,-4.76,-4.76,-4.76,"[{""gap"": -4.76, ""gap_norm"": -0.595, ""severity"": ""critical"", ""site_id"": ""7af0e000-3d19-4e5e-b504-f74897f1510c"", ""site_name"": ""Plo\u010de power station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": 8.0, ""value"": 3.24}]"
AL,1,0,NH-02,E1,nearest_fault_km,,1,-4.6899999999999995,-4.6899999999999995,-4.6899999999999995,"[{""gap"": -4.6899999999999995, ""gap_norm"": -0.5862499999999999, ""severity"": ""critical"", ""site_id"": ""e6ecead0-54d1-41fe-8268-1253d0d7ef3e"", ""site_name"": ""Porto Romano Power Station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": 8.0, ""value"": 3.31}]"
AL,1,0,NH-03,E2,,,1,,,,"[{""gap"": null, ""gap_norm"": null, ""severity"": ""floor"", ""site_id"": ""e6ecead0-54d1-41fe-8268-1253d0d7ef3e"", ""site_name"": ""Porto Romano Power Station"", ""smr_key"": ""nuscale_voygr6"", ""threshold"": null, ""value"": null}]"
