stamp,run_id,metric,value
20260425,20260425T073743_20d0478d,total_pairs,363
20260425,20260425T073743_20d0478d,survived,26
20260425,20260425T073743_20d0478d,failed_any,337
20260425,20260425T073743_20d0478d,failed_hard_only,29
20260425,20260425T073743_20d0478d,failed_floor_only,161
20260425,20260425T073743_20d0478d,failed_both,147
20260425,20260425T073743_20d0478d,failed_by_hard_anywhere,176
20260425,20260425T073743_20d0478d,failed_by_floor_anywhere,308
20260425,20260425T073743_20d0478d,n_distinct_sites,363
20260425,20260425T073743_20d0478d,n_distinct_smrs,1
