country_code,site_id,smr_key,bucket,hard_criteria,floor_criteria,n_hard,n_floor,n_distinct_failures
AL,e6ecead0-54d1-41fe-8268-1253d0d7ef3e,nuscale_voygr6,both,NH-02|NH-05,EP-01|NH-03|NH-05,2,3,4
AT,021c723b-98af-4b72-8f6c-ade538885f10,nuscale_voygr6,both,NH-02,EP-01|NH-04,1,2,3
AT,2dcd2c6d-f375-4408-9492-7910662fac03,nuscale_voygr6,floor_only,,EP-01|NH-04,0,2,2
AT,33d83e11-cfcd-47cb-be5e-82ca0fc352cc,nuscale_voygr6,both,NH-04,NH-02,1,1,2
AT,532bfb42-0d4c-42cf-a81a-287f2b3a75bf,nuscale_voygr6,floor_only,,EP-01,0,1,1
AT,660d9d71-6733-4294-951b-1c58614d58cf,nuscale_voygr6,floor_only,,NH-04,0,1,1
AT,6e7fc4d8-636d-411a-baef-e138a5a07acc,nuscale_voygr6,floor_only,,EP-01,0,1,1
AT,90820fe3-9889-4faf-9906-7c528f8d7bc5,nuscale_voygr6,floor_only,,EP-01,0,1,1
AT,99d712ac-7993-4186-8a0e-2e88bae7e90f,nuscale_voygr6,floor_only,,NH-04,0,1,1
BA,0155b913-765f-4d44-89f5-c176b6867cef,nuscale_voygr6,both,NH-02,NH-04|NH-05,1,2,3
BA,0fb50bcc-5616-40d8-9109-8136a958f18d,nuscale_voygr6,both,NH-02|NH-05,EP-01|NH-04|NH-05,2,3,4
BA,344e0e9a-558e-4749-bb66-cd746be50cbd,nuscale_voygr6,both,NH-05,EP-01|NH-05,1,2,2
BA,67e5a20f-e3ab-4c18-9864-cf4591d6e15f,nuscale_voygr6,both,NH-02|NH-05,EP-01|NH-04|NH-05,2,3,4
BA,82011c29-a3d3-4a81-a27b-019d2649a251,nuscale_voygr6,both,NH-05,EP-01|NH-02|NH-04|NH-05,1,4,4
BA,85257083-08d1-4560-b198-a9df414da4a9,nuscale_voygr6,both,NH-05,EP-01|NH-02|NH-04|NH-05,1,4,4
BA,a23d073a-cbbd-469a-b134-380945fd3f4c,nuscale_voygr6,both,NH-05,NH-04|NH-05,1,2,2
BA,aa0bdb5e-45aa-4d15-8aee-cb5b0e14f5d9,nuscale_voygr6,both,NH-05,NH-02|NH-04|NH-05,1,3,3
BA,e2d645e3-c829-4aac-8f6f-d6a5507fd5fa,nuscale_voygr6,both,NH-02|NH-05,EP-01|NH-04|NH-05,2,3,4
BA,e671be33-8b91-40bd-b563-b833293654aa,nuscale_voygr6,both,NH-02|NH-05,EP-01|NH-04|NH-05,2,3,4
BA,e75c63e5-ef2f-4e08-8f8c-3da41215af9d,nuscale_voygr6,both,NH-05,NH-04|NH-05,1,2,2
BG,0e860f58-416b-4116-836d-04edf8ded225,nuscale_voygr6,hard_only,NH-02,,1,0,1
BG,2fb27566-cc7b-4530-8ff9-e55e3a1985bd,nuscale_voygr6,floor_only,,EP-01,0,1,1
BG,30c9e377-b575-46fa-880f-922c46e6500a,nuscale_voygr6,floor_only,,EP-01,0,1,1
BG,33a015dd-51e0-497e-b0d3-4b1b3f070438,nuscale_voygr6,both,EP-01,NH-02|NH-04,1,2,3
BG,398cc0f2-25d5-428a-93c9-5e4859680e86,nuscale_voygr6,both,NH-02,EP-01,1,1,2
BG,3bb6666f-de2f-4c6f-a28e-c3bddb71b54a,nuscale_voygr6,floor_only,,EP-01|NH-02,0,2,2
BG,704ef487-f600-4f23-b06e-a0f81b627597,nuscale_voygr6,floor_only,,EP-01,0,1,1
BG,85c56b15-450b-4bb1-b75e-5ea00ee51cb2,nuscale_voygr6,both,NH-02,EP-01,1,1,2
BG,93685558-3355-4da2-9a4a-4cccd89f9269,nuscale_voygr6,both,NH-02,EP-01,1,1,2
BG,a064c7ae-e699-4a94-a18c-79bdfe42bce3,nuscale_voygr6,floor_only,,EP-01,0,1,1
BG,b01fe781-dbc7-40f8-a544-946288020042,nuscale_voygr6,floor_only,,NH-02|NH-04,0,2,2
BG,b1bcb7d3-cd40-40c9-9c59-a01fa71053b3,nuscale_voygr6,both,NH-02,EP-01,1,1,2
BG,d12d7173-8595-4b53-92af-75b44b5a2fb7,nuscale_voygr6,both,NH-02,EP-01,1,1,2
BG,ec5f337a-ca52-4b86-a0f4-4933eac349e3,nuscale_voygr6,floor_only,,EP-01|NH-02,0,2,2
BG,fee1d5b3-827f-4172-8492-a3e114a3c39e,nuscale_voygr6,both,NH-02,EP-01,1,1,2
BY,68aabff9-e662-4b9f-b37d-4c2ebc5f7539,nuscale_voygr6,floor_only,,EP-01,0,1,1
BY,fac3d0b5-36a5-48ae-8494-f2f08e4342f4,nuscale_voygr6,survived,,,0,0,0
CZ,05daa6b2-bb29-4c26-a459-855626673955,nuscale_voygr6,both,NH-05,EP-01|NH-05,1,2,2
CZ,0ae8917b-a70b-41e5-82de-e4963a7686e3,nuscale_voygr6,both,NH-05,EP-01|NH-04|NH-05,1,3,3
CZ,14e88076-ce0e-4693-bca4-e80f3f013c7f,nuscale_voygr6,both,NH-05,EP-01|NH-04|NH-05,1,3,3
CZ,180880c2-7284-4723-b02a-a62348b9b40b,nuscale_voygr6,both,NH-05,EP-01|NH-04|NH-05,1,3,3
CZ,1c059a42-608c-4753-8fcf-ba797d94f900,nuscale_voygr6,both,EP-01|NH-05,NH-05,2,1,2
CZ,20bce4f5-ca0b-4145-87e5-0a0694343f31,nuscale_voygr6,both,NH-05,EP-01|NH-04|NH-05,1,3,3
CZ,20c9d02d-e9e8-40b3-a11e-7a2e01018d8c,nuscale_voygr6,both,EP-01|NH-05,NH-05,2,1,2
CZ,274ec928-e527-44cf-86c5-b6eddc09d0f7,nuscale_voygr6,both,NH-05,EP-01|NH-04|NH-05,1,3,3
CZ,287cbb48-bb08-40dd-82c5-cfe1530dfbb9,nuscale_voygr6,both,NH-05,EP-01|NH-04|NH-05,1,3,3
CZ,2fe0a0b3-4108-427e-8e54-f77e1ea7227c,nuscale_voygr6,both,NH-05,EP-01|NH-04|NH-05,1,3,3
CZ,32484f7b-18a4-4b21-8e6a-6d68ae099d02,nuscale_voygr6,both,NH-05,NH-05,1,1,1
CZ,43e5b2b4-2ccf-46ab-b01e-e3d480146455,nuscale_voygr6,both,NH-05,EP-01|NH-04|NH-05,1,3,3
CZ,44d40276-5847-41d1-ab9b-887bbdc1bcfe,nuscale_voygr6,both,EP-01|NH-05,NH-05,2,1,2
CZ,4eb7914c-e000-403c-b5a5-c350de67bb83,nuscale_voygr6,both,NH-05,NH-04|NH-05,1,2,2
CZ,5f4ed23c-cea2-41ef-a3e8-ac863e1bdcd6,nuscale_voygr6,both,NH-05,EP-01|NH-04|NH-05,1,3,3
CZ,60baaa73-dd8c-4865-bb18-6c73d63a4052,nuscale_voygr6,both,NH-05,EP-01|NH-04|NH-05,1,3,3
CZ,63601ccc-3f20-4cbd-95cb-0fbeaf821c6a,nuscale_voygr6,both,NH-05,EP-01|NH-04|NH-05,1,3,3
