stamp,run_id,metric,value
20260425b,20260425T140231_ff84d75e,total_pairs,363
20260425b,20260425T140231_ff84d75e,survived,26
20260425b,20260425T140231_ff84d75e,failed_any,337
20260425b,20260425T140231_ff84d75e,failed_hard_only,29
20260425b,20260425T140231_ff84d75e,failed_floor_only,161
20260425b,20260425T140231_ff84d75e,failed_both,147
20260425b,20260425T140231_ff84d75e,failed_by_hard_anywhere,176
20260425b,20260425T140231_ff84d75e,failed_by_floor_anywhere,308
20260425b,20260425T140231_ff84d75e,n_distinct_sites,363
20260425b,20260425T140231_ff84d75e,n_distinct_smrs,1
