ranking_id,site_id,smr_key,composite_score,rank_position,passed_exclusionary,passed_avoidance,criteria_coverage,avg_confidence,sensitivity_stable,per_category_scores,run_id,ranked_at,composite_score_low,composite_score_high,weight_profile,site_name,country_code
bd6b305f-1e7d-480f-9f36-9a724ff28855,52db4dae-b014-45a4-96c4-49f80c1fdd11,nuscale_voygr6,6.612,,True,False,45.83,low,,"{'notes': ['high_unscored_fraction'], 'categories': {'EP': 5.5, 'HI': 5.5, 'NH': 7.84, 'NS': 6.77, 'RI': 5.34}, 'unscored_fraction': 0.5088}",20260425T140231_ff84d75e,2026-04-25 14:03:24.617499+00:00,4.774,6.993,baseline,Opalenie power station,PL
96ffea26-c49f-4a9b-804b-4dda246547b3,345fb795-170a-4fb5-833c-f6bcf2eb450c,nuscale_voygr6,6.58,,True,True,43.75,low,,"{'notes': ['high_unscored_fraction'], 'categories': {'EP': 4.64, 'HI': 3.65, 'NH': 7.13, 'NS': 7.26, 'RI': 7.24}, 'unscored_fraction': 0.5336}",20260425T140231_ff84d75e,2026-04-25 14:03:24.712042+00:00,4.67,6.985,baseline,Turceni power station,RO
69941c5f-a741-4bc0-9a11-1b4b654af531,778e0750-19f9-426e-a6c7-e0e30645fb97,nuscale_voygr6,6.566,,True,False,37.5,low,,"{'notes': ['high_unscored_fraction'], 'categories': {'EP': 5.79, 'HI': 5.5, 'NH': 7.12, 'NS': 7.44, 'RI': 4.82}, 'unscored_fraction': 0.6007}",20260425T140231_ff84d75e,2026-04-25 14:03:24.819094+00:00,4.424,7.062,baseline,Çoban Yıldız power station,TR
01871e48-dc04-488b-8fbd-0301c4eb2258,ad0c8590-c672-43f2-a813-1217a10f7d2d,nuscale_voygr6,6.521,,True,False,39.58,low,,"{'notes': ['high_unscored_fraction'], 'categories': {'EP': 4.64, 'HI': 5.5, 'NH': 7.18, 'NS': 6.53, 'RI': 6.71}, 'unscored_fraction': 0.576}",20260425T140231_ff84d75e,2026-04-25 14:03:24.914427+00:00,4.493,7.083,baseline,Konya Karapınar power station,TR
ee87afa1-42f3-483f-8593-e8c877e353af,558e7bff-5b5d-4666-9ca3-ec02f2269aab,nuscale_voygr6,6.476,,True,True,47.92,low,,"{'notes': ['high_unscored_fraction'], 'categories': {'EP': 5.5, 'HI': 4.3, 'NH': 7.53, 'NS': 7.06, 'RI': 5.34}, 'unscored_fraction': 0.4841}",20260425T140231_ff84d75e,2026-04-25 14:03:24.580545+00:00,4.793,6.945,baseline,Dolna Odra power station,PL
5114ec77-5621-4a8b-9956-38101a6608da,dadadad9-b67e-44b8-a9ab-4cbf116da20b,nuscale_voygr6,6.462,,True,False,47.92,low,,"{'notes': ['high_unscored_fraction'], 'categories': {'EP': 5.5, 'HI': 4.3, 'NH': 6.99, 'NS': 7.45, 'RI': 5.87}, 'unscored_fraction': 0.4841}",20260425T140231_ff84d75e,2026-04-25 14:03:24.633366+00:00,4.786,6.877,baseline,Puchaczow power station,PL
ca527bd3-db00-4ee1-b779-5d9f9e4ee67a,142cad75-648a-495d-8c10-792351e72126,nuscale_voygr6,6.436,,True,True,43.75,low,,"{'notes': ['high_unscored_fraction'], 'categories': {'EP': 5.5, 'HI': 5.5, 'NH': 6.68, 'NS': 7.21, 'RI': 5.66}, 'unscored_fraction': 0.53}",20260425T140231_ff84d75e,2026-04-25 14:03:24.837920+00:00,4.615,6.932,baseline,Eren-1 power station,TR
284f8e1a-54d2-490e-8a4c-0c1d8b3c148f,5fa0dfa9-c272-444e-8e70-80ab55b5d36c,nuscale_voygr6,6.345,,True,True,41.67,low,,"{'notes': ['high_unscored_fraction'], 'categories': {'EP': 4.64, 'HI': 5.5, 'NH': 7.04, 'NS': 5.96, 'RI': 7.24}, 'unscored_fraction': 0.5548}",20260425T140231_ff84d75e,2026-04-25 14:03:24.755457+00:00,4.489,6.968,baseline,Akdeniz Enerji power station,TR
db9d9643-18f2-45c2-babc-8103aabb0f03,fac3d0b5-36a5-48ae-8494-f2f08e4342f4,nuscale_voygr6,6.329,,True,False,41.67,low,,"{'notes': ['high_unscored_fraction'], 'categories': {'EP': 5.5, 'HI': 3.65, 'NH': 7.22, 'NS': 6.01, 'RI': 7.24}, 'unscored_fraction': 0.5548}",20260425T140231_ff84d75e,2026-04-25 14:03:24.457958+00:00,4.482,6.825,baseline,Zelwa power station,BY
e8fc2391-1016-4b78-9311-7a887511c6f9,29836b52-a882-4921-95a7-6417e636d9a2,nuscale_voygr6,6.309,,True,True,45.83,low,,"{'notes': ['high_unscored_fraction'], 'categories': {'EP': 3.79, 'HI': 5.6, 'NH': 6.87, 'NS': 7.11, 'RI': 5.87}, 'unscored_fraction': 0.5088}",20260425T140231_ff84d75e,2026-04-25 14:03:24.673081+00:00,4.625,6.719,baseline,Braila power station,RO
288fd5ce-e19a-43be-9976-304cbce6b125,d6cb5642-d5ec-4a15-bc6b-8be4cb0a382e,nuscale_voygr6,6.301,,True,True,43.75,low,,"{'notes': ['high_unscored_fraction'], 'categories': {'EP': 4.64, 'HI': 5.5, 'NH': 6.84, 'NS': 5.96, 'RI': 7.24}, 'unscored_fraction': 0.53}",20260425T140231_ff84d75e,2026-04-25 14:03:24.990794+00:00,4.551,6.917,baseline,Yeşilovacık power station,TR
34978d4e-ca04-4860-8ad2-750b6edd96cc,a55e3643-8ed4-434b-b14f-2d549d09c0d9,nuscale_voygr6,6.276,,True,False,47.92,low,,"{'notes': ['high_unscored_fraction'], 'categories': {'EP': 4.64, 'HI': 7.04, 'NH': 7.84, 'NS': 5.3, 'RI': 4.82}, 'unscored_fraction': 0.4876}",20260425T140231_ff84d75e,2026-04-25 14:03:24.661882+00:00,4.678,6.741,baseline,Zarnowiec power station,PL
7ad2372f-2bc8-4c67-a28a-8856f2c18350,323cdbf0-c4a8-467a-af76-e2e3df0b537f,nuscale_voygr6,6.209,,True,True,45.83,low,,"{'notes': ['high_unscored_fraction'], 'categories': {'EP': 3.79, 'HI': 5.6, 'NH': 6.56, 'NS': 7.11, 'RI': 5.87}, 'unscored_fraction': 0.5088}",20260425T140231_ff84d75e,2026-04-25 14:03:24.675395+00:00,4.576,6.619,baseline,Braila power station,RO
64197daf-617b-46fe-b700-c7d082bcf5df,c3790475-3d3b-4e2b-92ae-24503fe03e6b,nuscale_voygr6,6.122,,True,False,45.83,low,,"{'notes': ['high_unscored_fraction'], 'categories': {'EP': 4.64, 'HI': 2.9, 'NH': 7.13, 'NS': 7.35, 'RI': 5.55}, 'unscored_fraction': 0.5088}",20260425T140231_ff84d75e,2026-04-25 14:03:24.702679+00:00,4.534,6.532,baseline,Romag Termo power station,RO
29458e7e-2d76-4e35-91d5-9efe2d43a73f,993ccce2-d5e1-498d-827d-8dbfeb42582b,nuscale_voygr6,5.91,,True,False,43.75,low,,"{'notes': ['high_unscored_fraction'], 'categories': {'EP': 4.64, 'HI': 3.5, 'NH': 6.84, 'NS': 5.67, 'RI': 6.39}, 'unscored_fraction': 0.53}",20260425T140231_ff84d75e,2026-04-25 14:03:24.719559+00:00,4.367,6.436,baseline,Kostolac power station,RS
a1d72f1e-a612-4608-a7aa-1e171591218a,c657c5c3-38a2-472d-8962-9e7cefcd2c1e,nuscale_voygr6,5.866,,True,False,41.67,low,,"{'notes': ['high_unscored_fraction'], 'categories': {'EP': 4.64, 'HI': 5.5, 'NH': 5.88, 'NS': 6.53, 'RI': 5.66}, 'unscored_fraction': 0.5512}",20260425T140231_ff84d75e,2026-04-25 14:03:24.826308+00:00,4.286,6.425,baseline,Diler (Akbayir) Elbistan power station,TR
