run_id,country_code,smr_key,site_id,national_rank,regional_rank,composite_score,composite_score_low,composite_score_high,band,pairwise_winrate_top5,p_rank_le_k,acceptability_flag,created_at,site_name
p16_20260425T141705_5037b797,BY,nuscale_voygr6,fac3d0b5-36a5-48ae-8494-f2f08e4342f4,1,9,6.329,4.482,6.825,D,,0.267,True,2026-04-25 14:18:56.557215+00:00,Zelwa power station
p16_20260425T141705_5037b797,PL,nuscale_voygr6,52db4dae-b014-45a4-96c4-49f80c1fdd11,1,1,6.612,4.774,6.993,A,,1.0,True,2026-04-25 14:18:56.557219+00:00,Opalenie power station
p16_20260425T141705_5037b797,PL,nuscale_voygr6,558e7bff-5b5d-4666-9ca3-ec02f2269aab,2,5,6.476,4.793,6.945,B,,0.933,True,2026-04-25 14:18:56.557217+00:00,Dolna Odra power station
p16_20260425T141705_5037b797,PL,nuscale_voygr6,dadadad9-b67e-44b8-a9ab-4cbf116da20b,3,6,6.462,4.786,6.877,B,,0.933,True,2026-04-25 14:18:56.557221+00:00,Puchaczow power station
p16_20260425T141705_5037b797,PL,nuscale_voygr6,a55e3643-8ed4-434b-b14f-2d549d09c0d9,4,12,6.276,4.678,6.741,D,,0.067,True,2026-04-25 14:18:56.557223+00:00,Zarnowiec power station
p16_20260425T141705_5037b797,RO,nuscale_voygr6,345fb795-170a-4fb5-833c-f6bcf2eb450c,1,2,6.58,4.67,6.985,A,,1.0,True,2026-04-25 14:18:56.557230+00:00,Turceni power station
p16_20260425T141705_5037b797,RO,nuscale_voygr6,29836b52-a882-4921-95a7-6417e636d9a2,2,10,6.309,4.625,6.719,D,,0.333,True,2026-04-25 14:18:56.557224+00:00,Braila power station
p16_20260425T141705_5037b797,RO,nuscale_voygr6,323cdbf0-c4a8-467a-af76-e2e3df0b537f,3,13,6.209,4.576,6.619,D,,0.0,True,2026-04-25 14:18:56.557226+00:00,Braila power station
p16_20260425T141705_5037b797,RO,nuscale_voygr6,c3790475-3d3b-4e2b-92ae-24503fe03e6b,4,14,6.122,4.534,6.532,D,,0.067,True,2026-04-25 14:18:56.557228+00:00,Romag Termo power station
p16_20260425T141705_5037b797,RS,nuscale_voygr6,993ccce2-d5e1-498d-827d-8dbfeb42582b,1,15,5.91,4.367,6.436,D,,0.0,True,2026-04-25 14:18:56.557232+00:00,Kostolac power station
p16_20260425T141705_5037b797,RS,nuscale_voygr6,5d4aee8d-9e73-4987-907a-d092e0ba92ed,2,17,5.835,4.332,6.301,G,,0.0,True,2026-04-25 14:18:56.557233+00:00,Kovin power station
p16_20260425T141705_5037b797,TR,nuscale_voygr6,778e0750-19f9-426e-a6c7-e0e30645fb97,1,3,6.566,4.424,7.062,A,,0.933,True,2026-04-25 14:18:56.557242+00:00,Çoban Yıldız power station
p16_20260425T141705_5037b797,TR,nuscale_voygr6,ad0c8590-c672-43f2-a813-1217a10f7d2d,2,4,6.521,4.493,7.083,A,,0.933,True,2026-04-25 14:18:56.557253+00:00,Konya Karapınar power station
p16_20260425T141705_5037b797,TR,nuscale_voygr6,142cad75-648a-495d-8c10-792351e72126,3,7,6.436,4.615,6.932,B,,0.867,True,2026-04-25 14:18:56.557246+00:00,Eren-1 power station
p16_20260425T141705_5037b797,TR,nuscale_voygr6,5fa0dfa9-c272-444e-8e70-80ab55b5d36c,4,8,6.345,4.489,6.968,C,,0.6,True,2026-04-25 14:18:56.557235+00:00,Akdeniz Enerji power station
p16_20260425T141705_5037b797,TR,nuscale_voygr6,d6cb5642-d5ec-4a15-bc6b-8be4cb0a382e,5,11,6.301,4.551,6.917,D,,0.133,True,2026-04-25 14:18:56.557260+00:00,Yeşilovacık power station
p16_20260425T141705_5037b797,TR,nuscale_voygr6,c657c5c3-38a2-472d-8962-9e7cefcd2c1e,6,16,5.866,4.286,6.425,D,,0.0,True,2026-04-25 14:18:56.557244+00:00,Diler (Akbayir) Elbistan power station
