run_id,country_code,smr_key,n_sites,k_value,scenarios_compared,mean_jaccard_vs_baseline_topk,min_jaccard_vs_baseline_topk,band_a_count,band_b_count,band_c_count,created_at
p16_20260425T141705_5037b797,AT,_all_,6,6,15,0.9333,0.0,,,,2026-04-25 14:18:56.373071+00:00
p16_20260425T141705_5037b797,BA,_all_,6,6,15,0.9333,0.0,,,,2026-04-25 14:18:56.373075+00:00
p16_20260425T141705_5037b797,BG,_all_,7,7,15,0.9333,0.0,,,,2026-04-25 14:18:56.373075+00:00
p16_20260425T141705_5037b797,BY,_all_,2,2,15,0.9667,0.5,,,,2026-04-25 14:18:56.373075+00:00
p16_20260425T141705_5037b797,CZ,_all_,23,10,15,0.9333,0.0,,,,2026-04-25 14:18:56.373076+00:00
p16_20260425T141705_5037b797,HR,_all_,1,1,15,0.9333,0.0,,,,2026-04-25 14:18:56.373076+00:00
p16_20260425T141705_5037b797,HU,_all_,10,10,15,0.9333,0.0,,,,2026-04-25 14:18:56.373076+00:00
p16_20260425T141705_5037b797,LV,_all_,1,1,15,0.9333,0.0,,,,2026-04-25 14:18:56.373076+00:00
p16_20260425T141705_5037b797,MD,_all_,1,1,15,0.9333,0.0,,,,2026-04-25 14:18:56.373077+00:00
p16_20260425T141705_5037b797,ME,_all_,1,1,15,0.9333,0.0,,,,2026-04-25 14:18:56.373077+00:00
p16_20260425T141705_5037b797,MK,_all_,4,4,15,0.9333,0.0,,,,2026-04-25 14:18:56.373077+00:00
p16_20260425T141705_5037b797,PL,_all_,41,13,15,0.9265,0.3077,,,,2026-04-25 14:18:56.373078+00:00
p16_20260425T141705_5037b797,RO,_all_,19,10,15,0.9236,0.4,,,,2026-04-25 14:18:56.373078+00:00
p16_20260425T141705_5037b797,RS,_all_,7,7,15,0.9524,0.2857,,,,2026-04-25 14:18:56.373078+00:00
p16_20260425T141705_5037b797,SK,_all_,5,5,15,0.9333,0.0,,,,2026-04-25 14:18:56.373078+00:00
p16_20260425T141705_5037b797,TR,_all_,106,32,15,0.8893,0.3824,,,,2026-04-25 14:18:56.373078+00:00
p16_20260425T141705_5037b797,UA,_all_,17,10,15,0.8218,0.0,,,,2026-04-25 14:18:56.373079+00:00
p16_20260425T141705_5037b797,AT,nuscale_voygr6,6,6,15,0.9333,0.0,,,,2026-04-25 14:18:56.512797+00:00
p16_20260425T141705_5037b797,BA,nuscale_voygr6,6,6,15,0.9333,0.0,,,,2026-04-25 14:18:56.512801+00:00
p16_20260425T141705_5037b797,BG,nuscale_voygr6,7,7,15,0.9333,0.0,,,,2026-04-25 14:18:56.512802+00:00
p16_20260425T141705_5037b797,BY,nuscale_voygr6,2,2,15,0.9667,0.5,,,,2026-04-25 14:18:56.512802+00:00
p16_20260425T141705_5037b797,CZ,nuscale_voygr6,23,10,15,0.9333,0.0,,,,2026-04-25 14:18:56.512802+00:00
p16_20260425T141705_5037b797,HR,nuscale_voygr6,1,1,15,0.9333,0.0,,,,2026-04-25 14:18:56.512802+00:00
p16_20260425T141705_5037b797,HU,nuscale_voygr6,10,10,15,0.9333,0.0,,,,2026-04-25 14:18:56.512803+00:00
p16_20260425T141705_5037b797,LV,nuscale_voygr6,1,1,15,0.9333,0.0,,,,2026-04-25 14:18:56.512803+00:00
p16_20260425T141705_5037b797,MD,nuscale_voygr6,1,1,15,0.9333,0.0,,,,2026-04-25 14:18:56.512803+00:00
p16_20260425T141705_5037b797,ME,nuscale_voygr6,1,1,15,0.9333,0.0,,,,2026-04-25 14:18:56.512803+00:00
p16_20260425T141705_5037b797,MK,nuscale_voygr6,4,4,15,0.9333,0.0,,,,2026-04-25 14:18:56.512804+00:00
p16_20260425T141705_5037b797,PL,nuscale_voygr6,41,13,15,0.9265,0.3077,,,,2026-04-25 14:18:56.512804+00:00
p16_20260425T141705_5037b797,RO,nuscale_voygr6,19,10,15,0.9236,0.4,,,,2026-04-25 14:18:56.512804+00:00
p16_20260425T141705_5037b797,RS,nuscale_voygr6,7,7,15,0.9524,0.2857,,,,2026-04-25 14:18:56.512804+00:00
p16_20260425T141705_5037b797,SK,nuscale_voygr6,5,5,15,0.9333,0.0,,,,2026-04-25 14:18:56.512805+00:00
p16_20260425T141705_5037b797,TR,nuscale_voygr6,106,32,15,0.8893,0.3824,,,,2026-04-25 14:18:56.512805+00:00
p16_20260425T141705_5037b797,UA,nuscale_voygr6,17,10,15,0.8218,0.0,,,,2026-04-25 14:18:56.512805+00:00
