run_id,criterion_id,family,criterion_name,mean_abs_rank_change,importance_score,pairs_compared,created_at
p16_20260425T141705_5037b797,NH-01,NH,Seismic ground motion (PGA),20.923,0.1006,208,2026-04-25 14:17:10.224893+00:00
p16_20260425T141705_5037b797,NS-05,NS,Land availability / ownership / zoning,14.769,0.071,208,2026-04-25 14:17:10.224896+00:00
p16_20260425T141705_5037b797,NS-04,NS,Site topography / grading,14.154,0.068,208,2026-04-25 14:17:10.224896+00:00
p16_20260425T141705_5037b797,HI-06,HI,Military installations,12.923,0.0621,208,2026-04-25 14:17:10.224892+00:00
p16_20260425T141705_5037b797,RI-04,RI,Population density (EPZ rings),12.308,0.0592,208,2026-04-25 14:17:10.224899+00:00
p16_20260425T141705_5037b797,RI-06,RI,Population projections (60-yr design life),11.692,0.0562,208,2026-04-25 14:17:10.224899+00:00
p16_20260425T141705_5037b797,NH-05,NH,Subsidence / karst / mining / oil & gas,9.894,0.0476,208,2026-04-25 14:17:10.224894+00:00
p16_20260425T141705_5037b797,NS-03,NS,Transport access (heavy haul road / rail / port),9.846,0.0473,208,2026-04-25 14:17:10.224896+00:00
p16_20260425T141705_5037b797,EP-02,EP,Evacuation routes (road network),9.24,0.0444,208,2026-04-25 14:17:10.224889+00:00
p16_20260425T141705_5037b797,NH-04,NH,Geotechnical - slope stability,8.0,0.0385,208,2026-04-25 14:17:10.224893+00:00
p16_20260425T141705_5037b797,NH-02,NH,Seismic surface rupture (capable faults),6.769,0.0325,208,2026-04-25 14:17:10.224893+00:00
p16_20260425T141705_5037b797,NS-01,NS,Cooling water / ultimate heat sink,5.538,0.0266,208,2026-04-25 14:17:10.224896+00:00
p16_20260425T141705_5037b797,HI-03,HI,Toxic / gas releases,4.923,0.0237,208,2026-04-25 14:17:10.224891+00:00
p16_20260425T141705_5037b797,NS-08,NS,Ecological sensitivity (Natura 2000 / WDPA),3.077,0.0148,208,2026-04-25 14:17:10.224897+00:00
p16_20260425T141705_5037b797,NS-02,NS,Grid connection (detailed),3.077,0.0148,208,2026-04-25 14:17:10.224896+00:00
p16_20260425T141705_5037b797,NH-03,NH,Geotechnical - settlement and liquefaction,3.077,0.0148,208,2026-04-25 14:17:10.224893+00:00
p16_20260425T141705_5037b797,HI-01,HI,Aircraft crash hazard,2.462,0.0118,208,2026-04-25 14:17:10.224891+00:00
p16_20260425T141705_5037b797,EP-01,EP,Emergency-plan feasibility (composite),2.462,0.0118,208,2026-04-25 14:17:10.224885+00:00
p16_20260425T141705_5037b797,NH-06,NH,"Foundation conditions (bearing, bedrock, groundwater)",1.269,0.0061,208,2026-04-25 14:17:10.224894+00:00
p16_20260425T141705_5037b797,HI-02,HI,Industrial explosions (Seveso / IED),1.231,0.0059,208,2026-04-25 14:17:10.224891+00:00
p16_20260425T141705_5037b797,HI-04,HI,External fires,0.615,0.003,208,2026-04-25 14:17:10.224891+00:00
p16_20260425T141705_5037b797,NH-10,NH,Extreme winds,0.615,0.003,208,2026-04-25 14:17:10.224895+00:00
p16_20260425T141705_5037b797,NH-12,NH,Extreme temperatures,0.615,0.003,208,2026-04-25 14:17:10.224895+00:00
p16_20260425T141705_5037b797,NH-09,NH,River flooding,0.0,0.0,208,2026-04-25 14:17:10.224894+00:00
p16_20260425T141705_5037b797,NH-11,NH,"Extreme precipitation (rain, snow, drought)",0.0,0.0,208,2026-04-25 14:17:10.224895+00:00
p16_20260425T141705_5037b797,NH-13,NH,Forest / wildfire,0.0,0.0,208,2026-04-25 14:17:10.224895+00:00
p16_20260425T141705_5037b797,NH-14,NH,Combined hazards,0.0,0.0,208,2026-04-25 14:17:10.224895+00:00
p16_20260425T141705_5037b797,BF-01,BF,Grid export / connection adequacy,0.0,0.0,208,2026-04-25 14:17:10.224892+00:00
p16_20260425T141705_5037b797,HI-08,HI,Other nuclear installations,0.0,0.0,208,2026-04-25 14:17:10.224892+00:00
p16_20260425T141705_5037b797,HI-07,HI,Electromagnetic interference,0.0,0.0,208,2026-04-25 14:17:10.224892+00:00
p16_20260425T141705_5037b797,HI-05,HI,Transport hazards (hazmat road / rail / pipe),0.0,0.0,208,2026-04-25 14:17:10.224891+00:00
p16_20260425T141705_5037b797,NS-06,NS,Existing infrastructure reuse,0.0,0.0,208,2026-04-25 14:17:10.224897+00:00
p16_20260425T141705_5037b797,NS-07,NS,Environmental impact (non-radiological),0.0,0.0,208,2026-04-25 14:17:10.224897+00:00
p16_20260425T141705_5037b797,EP-05,EP,Concurrent-hazard impact on EP,0.0,0.0,208,2026-04-25 14:17:10.224890+00:00
p16_20260425T141705_5037b797,NS-09,NS,Socioeconomic impact,0.0,0.0,208,2026-04-25 14:17:10.224897+00:00
p16_20260425T141705_5037b797,NS-10,NS,Workforce availability,0.0,0.0,208,2026-04-25 14:17:10.224897+00:00
p16_20260425T141705_5037b797,NS-11,NS,Coal-to-nuclear synergies,0.0,0.0,208,2026-04-25 14:17:10.224898+00:00
p16_20260425T141705_5037b797,NS-12,NS,Regulatory / political environment,0.0,0.0,208,2026-04-25 14:17:10.224898+00:00
p16_20260425T141705_5037b797,NS-13,NS,Construction logistics,0.0,0.0,208,2026-04-25 14:17:10.224898+00:00
p16_20260425T141705_5037b797,RI-01,RI,"Atmospheric dispersion (wind, stability, BLH)",0.0,0.0,208,2026-04-25 14:17:10.224898+00:00
