run_id,criterion_id,direction,n_pairs_affected,mean_abs_score_delta,mean_abs_rank_change,survivors_added,survivors_removed,created_at
p16_20260425T141705_5037b797,BF-01,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487486+00:00
p16_20260425T141705_5037b797,BF-01,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487466+00:00
p16_20260425T141705_5037b797,BF-02,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487486+00:00
p16_20260425T141705_5037b797,BF-02,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487470+00:00
p16_20260425T141705_5037b797,EP-01,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487486+00:00
p16_20260425T141705_5037b797,EP-01,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487471+00:00
p16_20260425T141705_5037b797,EP-02,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487486+00:00
p16_20260425T141705_5037b797,EP-02,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487471+00:00
p16_20260425T141705_5037b797,EP-03,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487487+00:00
p16_20260425T141705_5037b797,EP-03,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487471+00:00
p16_20260425T141705_5037b797,EP-04,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487487+00:00
p16_20260425T141705_5037b797,EP-04,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487472+00:00
p16_20260425T141705_5037b797,EP-05,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487487+00:00
p16_20260425T141705_5037b797,EP-05,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487472+00:00
p16_20260425T141705_5037b797,HI-01,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487488+00:00
p16_20260425T141705_5037b797,HI-01,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487473+00:00
p16_20260425T141705_5037b797,HI-02,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487488+00:00
p16_20260425T141705_5037b797,HI-02,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487473+00:00
