run_id,weight_profile,scored_pairs,top5_overlap_jaccard,top10_overlap_jaccard,top5_overlap_count,top10_overlap_count,mean_abs_score_delta,max_abs_score_delta,pairs_drift_compared,created_at
p16_20260425T141705_5037b797,country_balanced,3096,0.7407,0.6923,40,72,0.0299,0.528,3096,2026-04-25 14:19:01.962870+00:00
p16_20260425T141705_5037b797,mc_10000,3096,0.5625,0.4885,36,64,0.3421,1.009,3096,2026-04-25 14:19:01.962873+00:00
p16_20260425T141705_5037b797,threshold_minus_25,9536,0.5625,0.52,54,104,0.2767,0.621,9536,2026-04-25 14:19:01.962874+00:00
p16_20260425T141705_5037b797,threshold_plus_25,9536,0.5625,0.5,54,104,0.2974,0.688,9536,2026-04-25 14:19:01.962874+00:00
p16_20260425T141705_5037b797,w_EP_minus_20,3096,0.7407,0.6923,40,72,0.0559,0.54,3096,2026-04-25 14:19:01.962875+00:00
p16_20260425T141705_5037b797,w_EP_plus_20,3096,0.7407,0.6923,40,72,0.0567,0.553,3096,2026-04-25 14:19:01.962875+00:00
p16_20260425T141705_5037b797,w_HI_minus_20,3096,0.7407,0.6923,40,72,0.0554,0.544,3096,2026-04-25 14:19:01.962875+00:00
p16_20260425T141705_5037b797,w_HI_plus_20,3096,0.7407,0.6923,40,72,0.0565,0.537,3096,2026-04-25 14:19:01.962875+00:00
p16_20260425T141705_5037b797,w_NH_minus_20,3096,0.7407,0.7692,40,80,0.0651,0.513,3096,2026-04-25 14:19:01.962876+00:00
p16_20260425T141705_5037b797,w_NH_plus_20,3096,0.7407,0.6923,40,72,0.0618,0.572,3096,2026-04-25 14:19:01.962876+00:00
p16_20260425T141705_5037b797,w_NS_minus_20,3096,0.5926,0.6923,32,72,0.0847,0.657,3096,2026-04-25 14:19:01.962876+00:00
p16_20260425T141705_5037b797,w_NS_plus_20,3096,0.7407,0.7692,40,80,0.0732,0.52,3096,2026-04-25 14:19:01.962876+00:00
p16_20260425T141705_5037b797,w_RI_minus_20,3096,0.7407,0.6923,40,72,0.0528,0.572,3096,2026-04-25 14:19:01.962876+00:00
p16_20260425T141705_5037b797,w_RI_plus_20,3096,0.7407,0.6923,40,72,0.0516,0.559,3096,2026-04-25 14:19:01.962877+00:00
p16_20260425T141705_5037b797,w_swing,1040,0.2963,0.2308,16,24,0.1621,0.32,1040,2026-04-25 14:19:01.962877+00:00
