run_id,criterion_a,criterion_b,pearson,spearman,max_abs,n_pairs,flagged,threshold,created_at
p16_20260425T141705_5037b797,BF-01,BF-02,0.1526,0.156,0.156,2904,False,0.7,2026-04-25 14:18:59.985203+00:00
p16_20260425T141705_5037b797,BF-01,EP-01,0.1298,0.1403,0.1403,2904,False,0.7,2026-04-25 14:18:59.985205+00:00
p16_20260425T141705_5037b797,BF-01,EP-02,-0.1023,-0.1054,0.1054,2904,False,0.7,2026-04-25 14:18:59.985214+00:00
p16_20260425T141705_5037b797,BF-01,EP-03,0.0,0.0,0.0,2904,False,0.7,2026-04-25 14:18:59.985377+00:00
p16_20260425T141705_5037b797,BF-01,EP-04,0.0,0.0,0.0,2904,False,0.7,2026-04-25 14:18:59.985377+00:00
p16_20260425T141705_5037b797,BF-01,EP-05,0.0,0.0,0.0,2904,False,0.7,2026-04-25 14:18:59.985377+00:00
p16_20260425T141705_5037b797,BF-01,HI-01,0.0092,0.0279,0.0279,2904,False,0.7,2026-04-25 14:18:59.985244+00:00
p16_20260425T141705_5037b797,BF-01,HI-02,-0.0466,-0.064,0.064,2904,False,0.7,2026-04-25 14:18:59.985225+00:00
p16_20260425T141705_5037b797,BF-01,HI-03,0.0318,-0.0174,0.0318,2904,False,0.7,2026-04-25 14:18:59.985241+00:00
p16_20260425T141705_5037b797,BF-01,HI-04,-0.0466,-0.064,0.064,2904,False,0.7,2026-04-25 14:18:59.985225+00:00
p16_20260425T141705_5037b797,BF-01,HI-05,0.0,0.0,0.0,2904,False,0.7,2026-04-25 14:18:59.985377+00:00
p16_20260425T141705_5037b797,BF-01,HI-06,0.0952,0.1007,0.1007,2904,False,0.7,2026-04-25 14:18:59.985214+00:00
p16_20260425T141705_5037b797,BF-01,HI-07,0.0,0.0,0.0,2904,False,0.7,2026-04-25 14:18:59.985378+00:00
p16_20260425T141705_5037b797,BF-01,HI-08,0.0,0.0,0.0,2904,False,0.7,2026-04-25 14:18:59.985378+00:00
p16_20260425T141705_5037b797,BF-01,NH-01,0.024,-0.0113,0.024,2904,False,0.7,2026-04-25 14:18:59.985245+00:00
p16_20260425T141705_5037b797,BF-01,NH-02,-0.032,-0.0486,0.0486,2904,False,0.7,2026-04-25 14:18:59.985233+00:00
p16_20260425T141705_5037b797,BF-01,NH-03,0.0282,0.0033,0.0282,2904,False,0.7,2026-04-25 14:18:59.985243+00:00
p16_20260425T141705_5037b797,BF-01,NH-04,0.0869,0.0747,0.0869,2904,False,0.7,2026-04-25 14:18:59.985218+00:00
p16_20260425T141705_5037b797,BF-01,NH-05,0.0019,0.0341,0.0341,2904,False,0.7,2026-04-25 14:18:59.985240+00:00
p16_20260425T141705_5037b797,BF-01,NH-06,0.0169,0.0456,0.0456,2904,False,0.7,2026-04-25 14:18:59.985235+00:00
p16_20260425T141705_5037b797,BF-01,NH-07,0.0,0.0,0.0,2904,False,0.7,2026-04-25 14:18:59.985378+00:00
p16_20260425T141705_5037b797,BF-01,NH-08,0.0,0.0,0.0,2904,False,0.7,2026-04-25 14:18:59.985378+00:00
p16_20260425T141705_5037b797,BF-01,NH-09,0.0,0.0,0.0,2904,False,0.7,2026-04-25 14:18:59.985378+00:00
p16_20260425T141705_5037b797,BF-01,NH-10,0.0,0.0,0.0,2904,False,0.7,2026-04-25 14:18:59.985379+00:00
p16_20260425T141705_5037b797,BF-01,NH-11,0.0,0.0,0.0,2904,False,0.7,2026-04-25 14:18:59.985376+00:00
p16_20260425T141705_5037b797,BF-01,NH-12,0.0302,0.0317,0.0317,2904,False,0.7,2026-04-25 14:18:59.985241+00:00
p16_20260425T141705_5037b797,BF-01,NH-13,0.0,0.0,0.0,2904,False,0.7,2026-04-25 14:18:59.985379+00:00
p16_20260425T141705_5037b797,BF-01,NH-14,0.0,0.0,0.0,2904,False,0.7,2026-04-25 14:18:59.985379+00:00
p16_20260425T141705_5037b797,BF-01,NS-01,0.0552,0.0383,0.0552,2904,False,0.7,2026-04-25 14:18:59.985229+00:00
p16_20260425T141705_5037b797,BF-01,NS-02,0.6904,0.6115,0.6904,2904,False,0.7,2026-04-25 14:18:59.985183+00:00
p16_20260425T141705_5037b797,BF-01,NS-03,-0.0457,-0.0438,0.0457,2904,False,0.7,2026-04-25 14:18:59.985235+00:00
p16_20260425T141705_5037b797,BF-01,NS-04,-0.1607,-0.1922,0.1922,2904,False,0.7,2026-04-25 14:18:59.985200+00:00
p16_20260425T141705_5037b797,BF-01,NS-05,0.1392,0.1472,0.1472,2904,False,0.7,2026-04-25 14:18:59.985204+00:00
p16_20260425T141705_5037b797,BF-01,NS-06,0.0,0.0,0.0,2904,False,0.7,2026-04-25 14:18:59.985380+00:00
p16_20260425T141705_5037b797,BF-01,NS-07,0.0,0.0,0.0,2904,False,0.7,2026-04-25 14:18:59.985380+00:00
p16_20260425T141705_5037b797,BF-01,NS-08,-0.0652,-0.1253,0.1253,2904,False,0.7,2026-04-25 14:18:59.985210+00:00
p16_20260425T141705_5037b797,BF-01,NS-09,0.0,0.0,0.0,2904,False,0.7,2026-04-25 14:18:59.985380+00:00
p16_20260425T141705_5037b797,BF-01,NS-10,0.0,0.0,0.0,2904,False,0.7,2026-04-25 14:18:59.985380+00:00
p16_20260425T141705_5037b797,BF-01,NS-11,0.0,0.0,0.0,2904,False,0.7,2026-04-25 14:18:59.985380+00:00
p16_20260425T141705_5037b797,BF-01,NS-12,0.0,0.0,0.0,2904,False,0.7,2026-04-25 14:18:59.985381+00:00
p16_20260425T141705_5037b797,BF-01,NS-13,0.0,0.0,0.0,2904,False,0.7,2026-04-25 14:18:59.985381+00:00
