run_id,criterion_id,family,name,declared_weight,observed_min,observed_max,observed_range,swing_weight,delta,created_at
swing_20260425_ff84d75e,BF-01,BF,Grid export / connection adequacy,0.028269,5.5,9.5,4.0,0.028972,0.000704,2026-04-25 14:20:58.622562+00:00
swing_20260425_ff84d75e,BF-02,BF,Land / nuclear-island footprint,0.017668,1.5,9.5,8.0,0.036215,0.018548,2026-04-25 14:20:58.622554+00:00
swing_20260425_ff84d75e,EP-01,EP,Emergency-plan feasibility (composite),0.028269,0.0,7.5,7.5,0.054323,0.026055,2026-04-25 14:20:58.622553+00:00
swing_20260425_ff84d75e,EP-02,EP,Evacuation routes (road network),0.021201,1.5,7.5,6.0,0.032594,0.011393,2026-04-25 14:20:58.622559+00:00
swing_20260425_ff84d75e,EP-03,EP,Physical-geography constraints,0.017668,5.0,5.0,0.0,0.004527,-0.013141,2026-04-25 14:20:58.622557+00:00
swing_20260425_ff84d75e,EP-04,EP,"Special populations (hospitals, prisons, care homes)",0.021201,5.0,5.0,0.0,0.005432,-0.015769,2026-04-25 14:20:58.622555+00:00
swing_20260425_ff84d75e,EP-05,EP,Concurrent-hazard impact on EP,0.014134,5.0,5.0,0.0,0.003622,-0.010513,2026-04-25 14:20:58.622559+00:00
swing_20260425_ff84d75e,HI-01,HI,Aircraft crash hazard,0.024735,3.5,5.5,2.0,0.012675,-0.01206,2026-04-25 14:20:58.622558+00:00
swing_20260425_ff84d75e,HI-02,HI,Industrial explosions (Seveso / IED),0.024735,5.0,9.5,4.5,0.02852,0.003785,2026-04-25 14:20:58.622561+00:00
swing_20260425_ff84d75e,HI-03,HI,Toxic / gas releases,0.024735,1.5,7.5,6.0,0.038026,0.013291,2026-04-25 14:20:58.622557+00:00
swing_20260425_ff84d75e,HI-04,HI,External fires,0.021201,5.0,9.5,4.5,0.024445,0.003244,2026-04-25 14:20:58.622562+00:00
swing_20260425_ff84d75e,HI-05,HI,Transport hazards (hazmat road / rail / pipe),0.021201,5.0,5.0,0.0,0.005432,-0.015769,2026-04-25 14:20:58.622555+00:00
swing_20260425_ff84d75e,HI-06,HI,Military installations,0.021201,1.5,5.5,4.0,0.021729,0.000528,2026-04-25 14:20:58.622562+00:00
swing_20260425_ff84d75e,HI-07,HI,Electromagnetic interference,0.007067,5.0,5.0,0.0,0.001811,-0.005256,2026-04-25 14:20:58.622561+00:00
swing_20260425_ff84d75e,HI-08,HI,Other nuclear installations,0.010601,5.0,5.0,0.0,0.002716,-0.007885,2026-04-25 14:20:58.622560+00:00
swing_20260425_ff84d75e,NH-01,NH,Seismic ground motion (PGA),0.031802,0.0,9.5,9.5,0.077411,0.045608,2026-04-25 14:20:58.622547+00:00
swing_20260425_ff84d75e,NH-02,NH,Seismic surface rupture (capable faults),0.031802,0.0,7.5,7.5,0.061114,0.029312,2026-04-25 14:20:58.622552+00:00
swing_20260425_ff84d75e,NH-03,NH,Geotechnical - settlement and liquefaction,0.024735,1.5,5.5,4.0,0.025351,0.000616,2026-04-25 14:20:58.622562+00:00
swing_20260425_ff84d75e,NH-04,NH,Geotechnical - slope stability,0.017668,0.0,9.5,9.5,0.043006,0.025338,2026-04-25 14:20:58.622553+00:00
swing_20260425_ff84d75e,NH-05,NH,Subsidence / karst / mining / oil & gas,0.024735,1.5,9.5,8.0,0.050702,0.025967,2026-04-25 14:20:58.622553+00:00
swing_20260425_ff84d75e,NH-06,NH,"Foundation conditions (bearing, bedrock, groundwater)",0.017668,0.0,5.5,5.5,0.024898,0.00723,2026-04-25 14:20:58.622561+00:00
swing_20260425_ff84d75e,NH-07,NH,Volcanism,0.035336,5.0,5.0,0.0,0.009054,-0.026282,2026-04-25 14:20:58.622552+00:00
swing_20260425_ff84d75e,NH-08,NH,"Coastal flooding (storm surge, tsunami)",0.021201,5.0,5.0,0.0,0.005432,-0.015769,2026-04-25 14:20:58.622555+00:00
swing_20260425_ff84d75e,NH-09,NH,River flooding,0.028269,5.0,5.0,0.0,0.007243,-0.021025,2026-04-25 14:20:58.622554+00:00
swing_20260425_ff84d75e,NH-10,NH,Extreme winds,0.010601,9.5,9.5,0.0,0.002716,-0.007885,2026-04-25 14:20:58.622560+00:00
swing_20260425_ff84d75e,NH-11,NH,"Extreme precipitation (rain, snow, drought)",0.010601,4.0,4.0,0.0,0.002716,-0.007885,2026-04-25 14:20:58.622560+00:00
swing_20260425_ff84d75e,NH-12,NH,Extreme temperatures,0.014134,7.5,9.5,2.0,0.007243,-0.006891,2026-04-25 14:20:58.622561+00:00
swing_20260425_ff84d75e,NH-13,NH,Forest / wildfire,0.010601,5.0,5.0,0.0,0.002716,-0.007885,2026-04-25 14:20:58.622560+00:00
swing_20260425_ff84d75e,NH-14,NH,Combined hazards,0.010601,5.0,5.0,0.0,0.002716,-0.007885,2026-04-25 14:20:58.622560+00:00
