country_code,site_name,site_id,nearest_airport_km,nearest_airport_name,nearest_airport_type,flight_path_distance_km,airport_count,hi01_quality,hi01_comment,nearest_seveso_km,nearest_industrial_km,hi02_quality,hi02_comment,nearest_toxic_source_km,hi03_quality,hi03_comment,nearest_flammable_storage_km,nearest_pipeline_km,hi04_quality,hi04_comment,hazmat_route_distance_km,hi05_quality,hi05_comment,nearest_military_km,nearest_military_name,military_count,hi06_quality,hi06_comment,nearest_transmitter_km,transmitter_type,transmitter_count,hi07_quality,hi07_comment,nearest_nuclear_km,nearest_nuclear_name,hi08_quality,hi08_comment,fetched_at,run_id,source_db,merge_run_id
AL,Porto Romano Power Station,e6ecead0-54d1-41fe-8268-1253d0d7ef3e,25.11,Tirana International Airport Mother Teresa,large_airport,12.56,1,high,Nearest: Tirana International Airport Mother Teresa (large_airport) at 25.1 km; Nearest large: 25.1 km; Nearest medium: 77.7 km; Within 30 km: 1; Source: OurAirports; quality: high,,,not_applicable,No chemical/petrochemical facilities within search radius; Source: EEA E-PRTR; quality: insufficient,,not_applicable,No toxic release sources within search radius; Source: EEA E-PRTR; quality: insufficient,,,not_applicable,No flammable storage facilities within search radius; Source: EEA E-PRTR; quality: insufficient,,,,2.16,Bunker,42,high,"Nearest military: Bunker (bunker), 2.2 km [A6]. Total features within 25 km: 42. Source: OSM Overpass [FIX-04 military]",4.49,communication,66,medium,"Nearest transmitter: communication, 4.5 km. Total within 25 km: 66. Source: OSM Overpass [FIX-04 transmitter]",,,,,2026-04-17 18:24:28.226573+00:00,fix04_20260417_182300,api,merge_phase2_20260421
AT,Duernrohr power station,6e7fc4d8-636d-411a-baef-e138a5a07acc,10.48,Tulln Heliport,heliport,7.06,7,high,Nearest: Tulln Heliport (heliport) at 10.5 km; Nearest large: 53.6 km; Nearest medium: 58.7 km; Within 30 km: 7; Source: OurAirports; quality: high,,0.69,high,No chemical/petrochemical facilities within search radius; Source: EEA E-PRTR; quality: high,0.69,high,Nearest toxic release source: Abfallverwertungsanlage MVA Dürnrohr at 0.7 km; Within 5 km: 2; Source: EEA E-PRTR; quality: high,,,high,No flammable storage facilities within search radius; Source: EEA E-PRTR; quality: high,,,,10.98,,9,medium,"Nearest military: unnamed (bunker), 11.0 km [A6]. Total features within 25 km: 9. Source: OSM Overpass [FIX-04 military]",0.2,mast,313,medium,"Nearest transmitter: mast, 0.2 km. Total within 25 km: 313. Source: OSM Overpass [FIX-04 transmitter]",,,,,2026-04-18 07:14:14.073708+00:00,fix04_20260418_071244,api,merge_phase2_20260421
AT,Enns Power Station,532bfb42-0d4c-42cf-a81a-287f2b3a75bf,13.21,Hofkirchen Airfield,small_airport,6.6,6,high,Nearest: Hofkirchen Airfield (small_airport) at 13.2 km; Nearest large: 21.4 km; Within 30 km: 6; Source: OurAirports; quality: high,,5.36,high,No chemical/petrochemical facilities within search radius; Source: EEA E-PRTR; quality: high,5.36,high,"Nearest toxic release source: UWEG Asten, Ipfdorferstr. 9 at 5.4 km; Within 5 km: 0; Source: EEA E-PRTR; quality: high",,,high,No flammable storage facilities within search radius; Source: EEA E-PRTR; quality: high,,,,0.57,Towarek-Schul-Kaserne,17,high,"Nearest military: Towarek-Schul-Kaserne (military), 0.6 km [A5]. Total features within 25 km: 17. Source: OSM Overpass [FIX-04 military]",0.37,lighting,447,medium,"Nearest transmitter: lighting, 0.4 km. Total within 25 km: 447. Source: OSM Overpass [FIX-04 transmitter]",,,,,2026-04-18 07:16:36.049781+00:00,fix04_20260418_071244,api,merge_phase2_20260421
AT,Mellach power station,90820fe3-9889-4faf-9906-7c528f8d7bc5,10.05,Graz Airport,large_airport,5.02,4,high,Nearest: Graz Airport (large_airport) at 10.0 km; Nearest large: 10.0 km; Nearest medium: 49.9 km; Within 30 km: 4; Violations: A4; Source: OurAirports; quality: high,,10.21,high,No chemical/petrochemical facilities within search radius; Source: EEA E-PRTR; quality: high,10.21,high,"Nearest toxic release source: INAKTIV Saubermacher AG, Baurestmassendeponie at 10.2 km; Within 5 km: 0; Source: EEA E-PRTR; quality: high",,,high,No flammable storage facilities within search radius; Source: EEA E-PRTR; quality: high,,,,7.3,,14,medium,"Nearest military: unnamed (military), 7.3 km [A5]. Total features within 25 km: 14. Source: OSM Overpass [FIX-04 military]",0.23,mast,407,medium,"Nearest transmitter: mast, 0.2 km. Total within 25 km: 407. Source: OSM Overpass [FIX-04 transmitter]",,,,,2026-04-17 18:34:51.282944+00:00,fix04_20260417_183150,api,merge_phase2_20260421
AT,Riedersbach power station,660d9d71-6733-4294-951b-1c58614d58cf,15.06,Altötting-Burghausen District Hospital Burghausen Heliport,heliport,12.51,12,high,Nearest: Altötting-Burghausen District Hospital Burghausen Heliport (heliport) at 15.1 km; Nearest large: 29.1 km; Nearest medium: 80.2 km; Within 30 km: 12; Source: OurAirports; quality: high,,21.88,high,No chemical/petrochemical facilities within search radius; Source: EEA E-PRTR; quality: high,21.88,high,Nearest toxic release source: Siggerwiesen at 21.9 km; Within 5 km: 0; Source: EEA E-PRTR; quality: high,,,high,No flammable storage facilities within search radius; Source: EEA E-PRTR; quality: high,,,,19.0,,4,medium,"Nearest military: unnamed (bunker), 19.0 km [A6]. Total features within 25 km: 4. Source: OSM Overpass [FIX-04 military]",0.29,mast,159,medium,"Nearest transmitter: mast, 0.3 km. Total within 25 km: 159. Source: OSM Overpass [FIX-04 transmitter]",,,,,2026-04-17 18:37:06.337489+00:00,fix04_20260417_183150,api,merge_phase2_20260421
AT,St Andrae power station,021c723b-98af-4b72-8f6c-ade538885f10,1.15,St. Andrä Im Lavanttal Heliport,heliport,1.15,6,high,Nearest: St. Andrä Im Lavanttal Heliport (heliport) at 1.1 km; Nearest large: 38.4 km; Nearest medium: 50.6 km; Within 30 km: 6; Violations: A1; Source: OurAirports; quality: high,,24.24,high,No chemical/petrochemical facilities within search radius; Source: EEA E-PRTR; quality: high,24.24,high,Nearest toxic release source: Werk Wietersdorf at 24.2 km; Within 5 km: 0; Source: EEA E-PRTR; quality: high,,,high,No flammable storage facilities within search radius; Source: EEA E-PRTR; quality: high,,,,12.43,Österreichisches Bundesheer,0,not_found,No military features found within 25 km. Source: OSM Overpass [FIX-04 military],0.55,communication,123,medium,"Nearest transmitter: communication, 0.5 km. Total within 25 km: 123. Source: OSM Overpass [FIX-04 transmitter]",,,,,2026-04-17 18:38:11.804825+00:00,fix04_20260417_182300,api,merge_phase2_20260421
AT,Timelkam power station,2dcd2c6d-f375-4408-9492-7910662fac03,21.75,Gmunden-Laakirchen Airfield,small_airport,10.87,3,high,Nearest: Gmunden-Laakirchen Airfield (small_airport) at 21.7 km; Nearest large: 50.0 km; Within 30 km: 3; Source: OurAirports; quality: high,,,medium,No chemical/petrochemical facilities within search radius; Source: EEA E-PRTR; quality: medium,,medium,No toxic release sources within search radius; Source: EEA E-PRTR; quality: medium,,,medium,No flammable storage facilities within search radius; Source: EEA E-PRTR; quality: medium,,,,5.9,Ehemaliger FLAK-Turm,0,not_found,No military features found within 25 km. Source: OSM Overpass [FIX-04 military],0.19,mast,0,not_found,No transmitters/masts found within 25 km. Source: OSM Overpass [FIX-04 transmitter],,,,,2026-04-17 18:40:44.225638+00:00,fix04_20260417_182300,api,merge_phase2_20260421
AT,Voitsberg power station,99d712ac-7993-4186-8a0e-2e88bae7e90f,22.08,Graz Airport,large_airport,11.04,3,high,Nearest: Graz Airport (large_airport) at 22.1 km; Nearest large: 22.1 km; Nearest medium: 35.9 km; Within 30 km: 3; Source: OurAirports; quality: high,,19.55,high,No chemical/petrochemical facilities within search radius; Source: EEA E-PRTR; quality: high,19.55,high,"Nearest toxic release source: INAKTIV Saubermacher AG, Baurestmassendeponie at 19.6 km; Within 5 km: 0; Source: EEA E-PRTR; quality: high",,,high,No flammable storage facilities within search radius; Source: EEA E-PRTR; quality: high,,,,16.25,Feliferhof,0,not_found,No military features found within 25 km. Source: OSM Overpass [FIX-04 military],0.72,communication,0,not_found,No transmitters/masts found within 25 km. Source: OSM Overpass [FIX-04 transmitter],,,,,2026-04-17 18:43:35.502634+00:00,fix04_20260417_182300,api,merge_phase2_20260421
AT,Zeltweg power station,33d83e11-cfcd-47cb-be5e-82ca0fc352cc,15.73,Sankt Michael ÖAMTC Heliport,heliport,10.5,6,high,Nearest: Sankt Michael ÖAMTC Heliport (heliport) at 15.7 km; Nearest large: 35.4 km; Nearest medium: 32.3 km; Within 30 km: 6; Source: OurAirports; quality: high,,13.7,high,No chemical/petrochemical facilities within search radius; Source: EEA E-PRTR; quality: high,13.7,high,Nearest toxic release source: SERVUS ABFALL Dienstleistungs GmbH at 13.7 km; Within 5 km: 0; Source: EEA E-PRTR; quality: high,,,high,No flammable storage facilities within search radius; Source: EEA E-PRTR; quality: high,,,,12.05,Ortnerhof,47,medium,"Nearest military: Ortnerhof (range), 12.0 km [A5]. Total features within 25 km: 47. Source: OSM Overpass [FIX-04 military]",4.08,communication,232,medium,"Nearest transmitter: communication, 4.1 km. Total within 25 km: 232. Source: OSM Overpass [FIX-04 transmitter]",,,,,2026-04-17 18:48:31.270232+00:00,fix04_20260417_183150,api,merge_phase2_20260421
BA,Banovici power station,82011c29-a3d3-4a81-a27b-019d2649a251,12.81,Ciljuge Sport Airfield,small_airport,6.4,3,high,Nearest: Ciljuge Sport Airfield (small_airport) at 12.8 km; Nearest large: 16.5 km; Within 30 km: 3; Source: OurAirports; quality: high,,,not_applicable,No chemical/petrochemical facilities within search radius; Source: EEA E-PRTR; quality: insufficient,,not_applicable,No toxic release sources within search radius; Source: EEA E-PRTR; quality: insufficient,,,not_applicable,No flammable storage facilities within search radius; Source: EEA E-PRTR; quality: insufficient,,,,10.91,,5,medium,"Nearest military: unnamed (military), 10.9 km [A5]. Total features within 25 km: 5. Source: OSM Overpass [FIX-04 military]",9.65,mast,11,medium,"Nearest transmitter: mast, 9.6 km. Total within 25 km: 11. Source: OSM Overpass [FIX-04 transmitter]",,,,,2026-04-18 07:17:39.856318+00:00,fix04_20260418_071244,api,merge_phase2_20260421
