country_code,site_name,site_id,pop_density_5km,pop_density_16km,pop_density_25km,pop_density_80km,pop_total_5km,pop_total_16km,pop_total_25km,pop_total_80km,ri04_quality,ri04_comment,nearest_city_50k_km,nearest_city_name,nearest_city_pop,ri05_quality,ri05_comment,pop_growth_rate_pct,projected_pop_25km_60yr,ri06_quality,ri06_comment,prevailing_wind_dir,avg_wind_speed_ms,mixing_height_m,ri01_quality,ri01_comment,nearest_river_flow_m3s,ri02_quality,ri02_comment,aquifer_type,groundwater_flow_dir,ri03_quality,ri03_comment,fetched_at,run_id,source_db,merge_run_id
AL,Porto Romano Power Station,e6ecead0-54d1-41fe-8268-1253d0d7ef3e,399.01,280.01,153.07,105.37,31335,225176,300526,2118327,ghsl_pop_100m_r2023a,"5 km: 31,335 pop, 399 p/km²; 16 km: 225,176 pop, 280 p/km²; 25 km: 300,526 pop, 153 p/km²; 80 km: 2,118,327 pop, 105 p/km²; Epoch: 2020; Source: GHS-POP R2023A 100 m (Mollweide)",,,,gisco_urau_2021,No city >50k within search radius; Cities >50k within 25 km: 0; Cities >50k within 80 km: 0; Settlement hierarchy: rural; Source: Eurostat GISCO Urban Audit 2021 + urb_cpop1,-0.118,170081,ghsl_pop_100m_r2023a,"{""ghsl_note"": ""CAGR 2020\u21922030 from GHS-POP R2023A multi-epoch data"", ""s17_eurostat_supplement"": {""base_population"": null, ""base_year"": 2023, ""projected_pop_2030"": 2700000, ""projected_pop_2040"": 2500000, ""projected_pop_2050"": 2280000, ""projected_pop_2060"": 2060000, ""projected_pop_2080"": 1680000, ""pop_change_pct_2050"": null, ""pop_change_pct_2080"": null, ""receptor_growth_factor_60yr"": null, ""projection_lo_2050"": null, ""projection_hi_2050"": null, ""projection_lo_2080"": null, ""projection_hi_2080"": null, ""growth_classification"": ""stable"", ""urban_expansion_pressure"": null, ""median_age_2050"": 47.0, ""old_age_dependency_2050"": 0.4, ""net_migration_rate_projected"": null, ""projection_source"": ""nso"", ""projection_variant"": ""medium"", ""spatial_level"": ""national""}}",NW,1.33,353.22,medium,ERA5 atmospheric dispersion (ref 1991-2020) | prevailing_wind=NW(315deg) | mean_speed=1.3m/s | mean_BLH=353m | p5_BLH=202m | stable_frac=0.900 | stability=[A=0.0% B=0.0% C=10.0% D=0.0% E=90.0% F=0.0%] | wind_rose_dominant=NW | source=copernicus_era5,,,,low permeability,,medium,,2026-04-20 21:28:46.350274+00:00,audit_postlogging_20260421,api,merge_phase2_20260421
AT,Duernrohr power station,6e7fc4d8-636d-411a-baef-e138a5a07acc,109.82,106.42,129.06,184.62,8624,85577,253384,3711521,ghsl_pop_100m_r2023a,"5 km: 8,624 pop, 110 p/km²; 16 km: 85,577 pop, 106 p/km²; 25 km: 253,384 pop, 129 p/km²; 80 km: 3,711,521 pop, 185 p/km²; Epoch: 2020; Source: GHS-POP R2023A 100 m (Mollweide)",35.91,Greater Wien,1766746.0,gisco_urau_2021,"Nearest city >50k: Greater Wien (1,766,746 pop) at 35.9 km; Cities >50k within 25 km: 0; Cities >50k within 80 km: 1; Settlement hierarchy: rural; Source: Eurostat GISCO Urban Audit 2021 + urb_cpop1",0.233,264777,ghsl_pop_100m_r2023a,"{""ghsl_note"": ""CAGR 2020\u21922030 from GHS-POP R2023A multi-epoch data"", ""s17_eurostat_supplement"": {""base_population"": null, ""base_year"": 2022, ""projected_pop_2030"": 9214690, ""projected_pop_2040"": 9413009, ""projected_pop_2050"": 9527146, ""projected_pop_2060"": 9540690, ""projected_pop_2080"": 9557919, ""pop_change_pct_2050"": null, ""pop_change_pct_2080"": null, ""receptor_growth_factor_60yr"": null, ""projection_lo_2050"": null, ""projection_hi_2050"": null, ""projection_lo_2080"": null, ""projection_hi_2080"": null, ""growth_classification"": ""stable"", ""urban_expansion_pressure"": null, ""median_age_2050"": 49.3, ""old_age_dependency_2050"": null, ""net_migration_rate_projected"": null, ""projection_source"": ""europop2023"", ""projection_variant"": ""baseline"", ""spatial_level"": ""national""}}",W,1.35,548.59,medium,ERA5 atmospheric dispersion (ref 1991-2020) | prevailing_wind=W(270deg) | mean_speed=1.4m/s | mean_BLH=549m | p5_BLH=330m | stable_frac=0.331 | stability=[A=0.0% B=0.0% C=66.9% D=0.0% E=33.1% F=0.0%] | wind_rose_dominant=W | source=copernicus_era5,,,,sedimentary sands,,medium,,2026-04-20 21:28:46.379238+00:00,audit_postlogging_20260421,api,merge_phase2_20260421
AT,Enns Power Station,532bfb42-0d4c-42cf-a81a-287f2b3a75bf,362.87,336.66,300.98,89.17,28497,270729,590914,1792709,ghsl_pop_100m_r2023a,"5 km: 28,497 pop, 363 p/km²; 16 km: 270,729 pop, 337 p/km²; 25 km: 590,914 pop, 301 p/km²; 80 km: 1,792,709 pop, 89 p/km²; Epoch: 2020; Source: GHS-POP R2023A 100 m (Mollweide)",14.95,Greater Linz,193814.0,gisco_urau_2021,"Nearest city >50k: Greater Linz (193,814 pop) at 15.0 km; Cities >50k within 25 km: 1; Cities >50k within 80 km: 1; Settlement hierarchy: suburban; Source: Eurostat GISCO Urban Audit 2021 + urb_cpop1",0.269,617485,ghsl_pop_100m_r2023a,"{""ghsl_note"": ""CAGR 2020\u21922030 from GHS-POP R2023A multi-epoch data"", ""s17_eurostat_supplement"": {""base_population"": null, ""base_year"": 2022, ""projected_pop_2030"": 9214690, ""projected_pop_2040"": 9413009, ""projected_pop_2050"": 9527146, ""projected_pop_2060"": 9540690, ""projected_pop_2080"": 9557919, ""pop_change_pct_2050"": null, ""pop_change_pct_2080"": null, ""receptor_growth_factor_60yr"": null, ""projection_lo_2050"": null, ""projection_hi_2050"": null, ""projection_lo_2080"": null, ""projection_hi_2080"": null, ""growth_classification"": ""stable"", ""urban_expansion_pressure"": null, ""median_age_2050"": 49.3, ""old_age_dependency_2050"": null, ""net_migration_rate_projected"": null, ""projection_source"": ""europop2023"", ""projection_variant"": ""baseline"", ""spatial_level"": ""national""}}",W,1.03,496.31,medium,ERA5 atmospheric dispersion (ref 1991-2020) | prevailing_wind=W(270deg) | mean_speed=1.0m/s | mean_BLH=496m | p5_BLH=273m | stable_frac=0.481 | stability=[A=0.0% B=0.0% C=51.9% D=0.0% E=48.1% F=0.0%] | wind_rose_dominant=W | source=copernicus_era5,,,,sedimentary sands,,medium,,2026-04-20 21:28:46.392057+00:00,audit_postlogging_20260421,api,merge_phase2_20260421
AT,Mellach power station,90820fe3-9889-4faf-9906-7c528f8d7bc5,165.18,248.21,284.52,103.29,12972,199604,558591,2076591,ghsl_pop_100m_r2023a,"5 km: 12,972 pop, 165 p/km²; 16 km: 199,604 pop, 248 p/km²; 25 km: 558,591 pop, 285 p/km²; 80 km: 2,076,591 pop, 103 p/km²; Epoch: 2020; Source: GHS-POP R2023A 100 m (Mollweide)",19.04,Graz,269997.0,gisco_urau_2021,"Nearest city >50k: Graz (269,997 pop) at 19.0 km; Cities >50k within 25 km: 1; Cities >50k within 80 km: 2; Settlement hierarchy: periurban; Source: Eurostat GISCO Urban Audit 2021 + urb_cpop1",0.43,583716,ghsl_pop_100m_r2023a,"{""ghsl_note"": ""CAGR 2020\u21922030 from GHS-POP R2023A multi-epoch data"", ""s17_eurostat_supplement"": {""base_population"": null, ""base_year"": 2022, ""projected_pop_2030"": 9214690, ""projected_pop_2040"": 9413009, ""projected_pop_2050"": 9527146, ""projected_pop_2060"": 9540690, ""projected_pop_2080"": 9557919, ""pop_change_pct_2050"": null, ""pop_change_pct_2080"": null, ""receptor_growth_factor_60yr"": null, ""projection_lo_2050"": null, ""projection_hi_2050"": null, ""projection_lo_2080"": null, ""projection_hi_2080"": null, ""growth_classification"": ""stable"", ""urban_expansion_pressure"": null, ""median_age_2050"": 49.3, ""old_age_dependency_2050"": null, ""net_migration_rate_projected"": null, ""projection_source"": ""europop2023"", ""projection_variant"": ""baseline"", ""spatial_level"": ""national""}}",NW,0.52,408.94,medium,ERA5 atmospheric dispersion (ref 1991-2020) | prevailing_wind=NW(315deg) | mean_speed=0.5m/s | mean_BLH=409m | p5_BLH=151m | stable_frac=0.669 | stability=[A=0.0% B=0.0% C=33.1% D=0.0% E=66.4% F=0.6%] | wind_rose_dominant=NW | source=copernicus_era5,,,,sedimentary sands,,medium,,2026-04-20 21:28:46.425924+00:00,audit_postlogging_20260421,api,merge_phase2_20260421
AT,Riedersbach power station,660d9d71-6733-4294-951b-1c58614d58cf,145.57,110.82,153.35,134.57,11432,89116,301073,2705363,ghsl_pop_100m_r2023a,"5 km: 11,432 pop, 146 p/km²; 16 km: 89,116 pop, 111 p/km²; 25 km: 301,073 pop, 153 p/km²; 80 km: 2,705,363 pop, 135 p/km²; Epoch: 2020; Source: GHS-POP R2023A 100 m (Mollweide)",30.11,Salzburg,146631.0,gisco_urau_2021,"Nearest city >50k: Salzburg (146,631 pop) at 30.1 km; Cities >50k within 25 km: 0; Cities >50k within 80 km: 3; Settlement hierarchy: rural; Source: Eurostat GISCO Urban Audit 2021 + urb_cpop1",0.054,314610,ghsl_pop_100m_r2023a,"{""ghsl_note"": ""CAGR 2020\u21922030 from GHS-POP R2023A multi-epoch data"", ""s17_eurostat_supplement"": {""base_population"": null, ""base_year"": 2022, ""projected_pop_2030"": 9214690, ""projected_pop_2040"": 9413009, ""projected_pop_2050"": 9527146, ""projected_pop_2060"": 9540690, ""projected_pop_2080"": 9557919, ""pop_change_pct_2050"": null, ""pop_change_pct_2080"": null, ""receptor_growth_factor_60yr"": null, ""projection_lo_2050"": null, ""projection_hi_2050"": null, ""projection_lo_2080"": null, ""projection_hi_2080"": null, ""growth_classification"": ""stable"", ""urban_expansion_pressure"": null, ""median_age_2050"": 49.3, ""old_age_dependency_2050"": null, ""net_migration_rate_projected"": null, ""projection_source"": ""europop2023"", ""projection_variant"": ""baseline"", ""spatial_level"": ""national""}}",WSW,0.91,419.49,medium,ERA5 atmospheric dispersion (ref 1991-2020) | prevailing_wind=WSW(248deg) | mean_speed=0.9m/s | mean_BLH=419m | p5_BLH=207m | stable_frac=0.694 | stability=[A=0.0% B=0.0% C=30.6% D=0.0% E=69.4% F=0.0%] | wind_rose_dominant=WSW | source=copernicus_era5,,,,low permeability,,medium,,2026-04-20 21:28:46.438095+00:00,audit_postlogging_20260421,api,merge_phase2_20260421
AT,St Andrae power station,021c723b-98af-4b72-8f6c-ade538885f10,101.03,65.47,53.34,117.88,7934,52647,104729,2369876,ghsl_pop_100m_r2023a,"5 km: 7,934 pop, 101 p/km²; 16 km: 52,647 pop, 65 p/km²; 25 km: 104,729 pop, 53 p/km²; 80 km: 2,369,876 pop, 118 p/km²; Epoch: 2020; Source: GHS-POP R2023A 100 m (Mollweide)",41.61,Klagenfurt,96640.0,gisco_urau_2021,"Nearest city >50k: Klagenfurt (96,640 pop) at 41.6 km; Cities >50k within 25 km: 0; Cities >50k within 80 km: 4; Settlement hierarchy: rural; Source: Eurostat GISCO Urban Audit 2021 + urb_cpop1",-0.687,109431,ghsl_pop_100m_r2023a,"{""ghsl_note"": ""CAGR 2020\u21922030 from GHS-POP R2023A multi-epoch data"", ""s17_eurostat_supplement"": {""base_population"": null, ""base_year"": 2022, ""projected_pop_2030"": 9214690, ""projected_pop_2040"": 9413009, ""projected_pop_2050"": 9527146, ""projected_pop_2060"": 9540690, ""projected_pop_2080"": 9557919, ""pop_change_pct_2050"": null, ""pop_change_pct_2080"": null, ""receptor_growth_factor_60yr"": null, ""projection_lo_2050"": null, ""projection_hi_2050"": null, ""projection_lo_2080"": null, ""projection_hi_2080"": null, ""growth_classification"": ""stable"", ""urban_expansion_pressure"": null, ""median_age_2050"": 49.3, ""old_age_dependency_2050"": null, ""net_migration_rate_projected"": null, ""projection_source"": ""europop2023"", ""projection_variant"": ""baseline"", ""spatial_level"": ""national""}}",WSW,0.45,396.89,medium,ERA5 atmospheric dispersion (ref 1991-2020) | prevailing_wind=WSW(248deg) | mean_speed=0.5m/s | mean_BLH=397m | p5_BLH=137m | stable_frac=0.681 | stability=[A=0.0% B=0.0% C=31.9% D=0.0% E=66.7% F=1.4%] | wind_rose_dominant=WSW | source=copernicus_era5,,,,alluvial,,medium,,2026-04-20 21:28:46.453518+00:00,audit_postlogging_20260421,api,merge_phase2_20260421
AT,Timelkam power station,2dcd2c6d-f375-4408-9492-7910662fac03,246.45,149.38,125.68,127.71,19354,120127,246746,2567417,ghsl_pop_100m_r2023a,"5 km: 19,354 pop, 246 p/km²; 16 km: 120,127 pop, 149 p/km²; 25 km: 246,746 pop, 126 p/km²; 80 km: 2,567,417 pop, 128 p/km²; Epoch: 2020; Source: GHS-POP R2023A 100 m (Mollweide)",46.97,Salzburg,146631.0,gisco_urau_2021,"Nearest city >50k: Salzburg (146,631 pop) at 47.0 km; Cities >50k within 25 km: 0; Cities >50k within 80 km: 2; Settlement hierarchy: rural; Source: Eurostat GISCO Urban Audit 2021 + urb_cpop1",-0.174,257843,ghsl_pop_100m_r2023a,"{""ghsl_note"": ""CAGR 2020\u21922030 from GHS-POP R2023A multi-epoch data"", ""s17_eurostat_supplement"": {""base_population"": null, ""base_year"": 2022, ""projected_pop_2030"": 9214690, ""projected_pop_2040"": 9413009, ""projected_pop_2050"": 9527146, ""projected_pop_2060"": 9540690, ""projected_pop_2080"": 9557919, ""pop_change_pct_2050"": null, ""pop_change_pct_2080"": null, ""receptor_growth_factor_60yr"": null, ""projection_lo_2050"": null, ""projection_hi_2050"": null, ""projection_lo_2080"": null, ""projection_hi_2080"": null, ""growth_classification"": ""stable"", ""urban_expansion_pressure"": null, ""median_age_2050"": 49.3, ""old_age_dependency_2050"": null, ""net_migration_rate_projected"": null, ""projection_source"": ""europop2023"", ""projection_variant"": ""baseline"", ""spatial_level"": ""national""}}",WSW,0.83,434.36,medium,ERA5 atmospheric dispersion (ref 1991-2020) | prevailing_wind=WSW(248deg) | mean_speed=0.8m/s | mean_BLH=434m | p5_BLH=211m | stable_frac=0.636 | stability=[A=0.0% B=0.0% C=36.4% D=0.0% E=63.6% F=0.0%] | wind_rose_dominant=WSW | source=copernicus_era5,,,,alluvial,,medium,,2026-04-20 21:28:46.466779+00:00,audit_postlogging_20260421,api,merge_phase2_20260421
AT,Voitsberg power station,99d712ac-7993-4186-8a0e-2e88bae7e90f,233.19,103.25,229.99,89.31,18313,83028,451536,1795519,ghsl_pop_100m_r2023a,"5 km: 18,313 pop, 233 p/km²; 16 km: 83,028 pop, 103 p/km²; 25 km: 451,536 pop, 230 p/km²; 80 km: 1,795,519 pop, 89 p/km²; Epoch: 2020; Source: GHS-POP R2023A 100 m (Mollweide)",21.35,Graz,269997.0,gisco_urau_2021,"Nearest city >50k: Graz (269,997 pop) at 21.3 km; Cities >50k within 25 km: 1; Cities >50k within 80 km: 3; Settlement hierarchy: periurban; Source: Eurostat GISCO Urban Audit 2021 + urb_cpop1",0.503,471844,ghsl_pop_100m_r2023a,"{""ghsl_note"": ""CAGR 2020\u21922030 from GHS-POP R2023A multi-epoch data"", ""s17_eurostat_supplement"": {""base_population"": null, ""base_year"": 2022, ""projected_pop_2030"": 9214690, ""projected_pop_2040"": 9413009, ""projected_pop_2050"": 9527146, ""projected_pop_2060"": 9540690, ""projected_pop_2080"": 9557919, ""pop_change_pct_2050"": null, ""pop_change_pct_2080"": null, ""receptor_growth_factor_60yr"": null, ""projection_lo_2050"": null, ""projection_hi_2050"": null, ""projection_lo_2080"": null, ""projection_hi_2080"": null, ""growth_classification"": ""stable"", ""urban_expansion_pressure"": null, ""median_age_2050"": 49.3, ""old_age_dependency_2050"": null, ""net_migration_rate_projected"": null, ""projection_source"": ""europop2023"", ""projection_variant"": ""baseline"", ""spatial_level"": ""national""}}",W,0.64,395.09,medium,ERA5 atmospheric dispersion (ref 1991-2020) | prevailing_wind=W(270deg) | mean_speed=0.6m/s | mean_BLH=395m | p5_BLH=146m | stable_frac=0.711 | stability=[A=0.0% B=0.0% C=28.9% D=0.0% E=70.6% F=0.6%] | wind_rose_dominant=W | source=copernicus_era5,,,,alluvial,,medium,,2026-04-20 21:28:46.479046+00:00,audit_postlogging_20260421,api,merge_phase2_20260421
AT,Zeltweg power station,33d83e11-cfcd-47cb-be5e-82ca0fc352cc,8.35,54.71,96.56,72.12,656,43993,189578,1449914,ghsl_pop_100m_r2023a,"5 km: 656 pop, 8 p/km²; 16 km: 43,993 pop, 55 p/km²; 25 km: 189,578 pop, 97 p/km²; 80 km: 1,449,914 pop, 72 p/km²; Epoch: 2020; Source: GHS-POP R2023A 100 m (Mollweide)",28.3,Graz,269997.0,gisco_urau_2021,"Nearest city >50k: Graz (269,997 pop) at 28.3 km; Cities >50k within 25 km: 0; Cities >50k within 80 km: 1; Settlement hierarchy: rural; Source: Eurostat GISCO Urban Audit 2021 + urb_cpop1",-0.319,198101,ghsl_pop_100m_r2023a,"{""ghsl_note"": ""CAGR 2020\u21922030 from GHS-POP R2023A multi-epoch data"", ""s17_eurostat_supplement"": {""base_population"": null, ""base_year"": 2022, ""projected_pop_2030"": 9214690, ""projected_pop_2040"": 9413009, ""projected_pop_2050"": 9527146, ""projected_pop_2060"": 9540690, ""projected_pop_2080"": 9557919, ""pop_change_pct_2050"": null, ""pop_change_pct_2080"": null, ""receptor_growth_factor_60yr"": null, ""projection_lo_2050"": null, ""projection_hi_2050"": null, ""projection_lo_2080"": null, ""projection_hi_2080"": null, ""growth_classification"": ""stable"", ""urban_expansion_pressure"": null, ""median_age_2050"": 49.3, ""old_age_dependency_2050"": null, ""net_migration_rate_projected"": null, ""projection_source"": ""europop2023"", ""projection_variant"": ""baseline"", ""spatial_level"": ""national""}}",NW,0.7,401.44,medium,ERA5 atmospheric dispersion (ref 1991-2020) | prevailing_wind=NW(315deg) | mean_speed=0.7m/s | mean_BLH=401m | p5_BLH=162m | stable_frac=0.717 | stability=[A=0.0% B=0.0% C=28.3% D=0.0% E=71.1% F=0.6%] | wind_rose_dominant=NW | source=copernicus_era5,,,,karsts and chalkstones,,medium,,2026-04-20 21:28:46.493456+00:00,audit_postlogging_20260421,api,merge_phase2_20260421
BA,Banovici power station,82011c29-a3d3-4a81-a27b-019d2649a251,208.02,145.83,132.56,102.48,16336,117270,260254,2060309,ghsl_pop_100m_r2023a,"5 km: 16,336 pop, 208 p/km²; 16 km: 117,270 pop, 146 p/km²; 25 km: 260,254 pop, 133 p/km²; 80 km: 2,060,309 pop, 102 p/km²; Epoch: 2020; Source: GHS-POP R2023A 100 m (Mollweide)",,,,gisco_urau_2021,No city >50k within search radius; Cities >50k within 25 km: 0; Cities >50k within 80 km: 0; Settlement hierarchy: rural; Source: Eurostat GISCO Urban Audit 2021 + urb_cpop1,-0.453,142823,ghsl_pop_100m_r2023a,"{""ghsl_note"": ""CAGR 2020\u21922030 from GHS-POP R2023A multi-epoch data"", ""s17_eurostat_supplement"": {""base_population"": null, ""base_year"": 2023, ""projected_pop_2030"": 3100000, ""projected_pop_2040"": 2850000, ""projected_pop_2050"": 2580000, ""projected_pop_2060"": 2310000, ""projected_pop_2080"": 1880000, ""pop_change_pct_2050"": null, ""pop_change_pct_2080"": null, ""receptor_growth_factor_60yr"": null, ""projection_lo_2050"": null, ""projection_hi_2050"": null, ""projection_lo_2080"": null, ""projection_hi_2080"": null, ""growth_classification"": ""stable"", ""urban_expansion_pressure"": null, ""median_age_2050"": 48.0, ""old_age_dependency_2050"": 0.43, ""net_migration_rate_projected"": null, ""projection_source"": ""nso"", ""projection_variant"": ""medium"", ""spatial_level"": ""national""}}",S,0.52,408.23,medium,ERA5 atmospheric dispersion (ref 1991-2020) | prevailing_wind=S(180deg) | mean_speed=0.5m/s | mean_BLH=408m | p5_BLH=198m | stable_frac=0.722 | stability=[A=0.0% B=0.0% C=27.8% D=0.0% E=72.2% F=0.0%] | wind_rose_dominant=S | source=copernicus_era5,,,,sedimentary sands,,medium,,2026-04-20 21:28:46.507604+00:00,audit_postlogging_20260421,api,merge_phase2_20260421
