country_code,site_name,site_id,ep01_composite_score,ep01_road_score,ep01_special_pop_score,ep01_geography_score,ep01_population_score,ep01_quality,ep01_comment,road_density_km_per_km2,total_road_km,has_motorway_access,ep02_quality,ep02_comment,major_river_barrier,waterway_count_epz,ep03_quality,ep03_comment,hospital_count_epz,prison_count_epz,care_home_count_epz,ep04_quality,ep04_comment,concurrent_hazard_notes,ep05_quality,ep05_comment,fetched_at,run_id,ep01_evacuation_feasible,ep01_terrain_score,ep03_gee_relief_16km_m,ep03_gee_mountain_barrier_score,ep03_cross_source_summary,source_db,merge_run_id
AL,Porto Romano Power Station,e6ecead0-54d1-41fe-8268-1253d0d7ef3e,45.5,42.0,90.0,95.0,60.0,high,"DRV-02 composite: 45.5/100 (FEASIBLE). Sub-scores: ep01_roads=0; ep01_special_pop=90; ep01_geography=95; ep01_terrain=10; ep01_population=60. Sources: osm_overpass, ghsl_pop_100m_r2023a, copernicus_dem_30m.",0.333,653.49,True,medium,ERA5 seasonal constraints proxy (ref 1991-2020) | snow_months=0 | extreme_precip_months=0 | max_snowfall=0.0mm/day | source=copernicus_era5,False,0,medium,"0 waterway(s), major river barrier: no",22,3,0,medium,"22 hospital/clinic, 3 prison, 0 care home within EPZ (total 25 facilities). Source: OSM Overpass [FIX-05 amenities]",,,,2026-04-20 21:28:46.350274+00:00,audit_postlogging_20260421,True,10.0,,,,api,merge_phase2_20260421
AT,Duernrohr power station,6e7fc4d8-636d-411a-baef-e138a5a07acc,52.5,78.2,90.0,95.0,80.0,high,"DRV-02 composite: 52.5/100 (FEASIBLE). Sub-scores: ep01_roads=0; ep01_special_pop=90; ep01_geography=95; ep01_terrain=10; ep01_population=80. Sources: osm_overpass, ghsl_pop_100m_r2023a, copernicus_dem_30m.",1.13,2218.62,True,medium,ERA5 seasonal constraints proxy (ref 1991-2020) | snow_months=0 | extreme_precip_months=0 | max_snowfall=0.1mm/day | source=copernicus_era5,False,0,medium,"0 waterway(s), major river barrier: no",14,3,6,medium,"14 hospital/clinic, 3 prison, 6 care home within EPZ (total 23 facilities). Source: OSM Overpass [FIX-05 amenities]",,,,2026-04-20 21:28:46.379238+00:00,audit_postlogging_20260421,True,10.0,,,,api,merge_phase2_20260421
AT,Enns Power Station,532bfb42-0d4c-42cf-a81a-287f2b3a75bf,45.5,78.6,90.0,95.0,60.0,high,"DRV-02 composite: 45.5/100 (FEASIBLE). Sub-scores: ep01_roads=0; ep01_special_pop=90; ep01_geography=95; ep01_terrain=10; ep01_population=60. Sources: osm_overpass, ghsl_pop_100m_r2023a, copernicus_dem_30m.",1.145,2248.7,True,medium,ERA5 seasonal constraints proxy (ref 1991-2020) | snow_months=0 | extreme_precip_months=0 | max_snowfall=0.1mm/day | source=copernicus_era5,False,0,medium,"0 waterway(s), major river barrier: no",37,4,30,medium,"37 hospital/clinic, 4 prison, 30 care home within EPZ (total 71 facilities). Source: OSM Overpass [FIX-05 amenities]",,,,2026-04-20 21:28:46.392057+00:00,audit_postlogging_20260421,True,10.0,,,,api,merge_phase2_20260421
AT,Mellach power station,90820fe3-9889-4faf-9906-7c528f8d7bc5,52.5,74.2,90.0,95.0,80.0,high,"DRV-02 composite: 52.5/100 (FEASIBLE). Sub-scores: ep01_roads=0; ep01_special_pop=90; ep01_geography=95; ep01_terrain=10; ep01_population=80. Sources: osm_overpass, ghsl_pop_100m_r2023a, copernicus_dem_30m.",0.968,1901.11,True,medium,ERA5 seasonal constraints proxy (ref 1991-2020) | snow_months=0 | extreme_precip_months=0 | max_snowfall=0.1mm/day | source=copernicus_era5,False,0,medium,"0 waterway(s), major river barrier: no",39,3,5,medium,"39 hospital/clinic, 3 prison, 5 care home within EPZ (total 47 facilities). Source: OSM Overpass [FIX-05 amenities]",,,,2026-04-20 21:28:46.425924+00:00,audit_postlogging_20260421,True,10.0,,,,api,merge_phase2_20260421
AT,Riedersbach power station,660d9d71-6733-4294-951b-1c58614d58cf,55.6,66.4,0.0,95.0,80.0,high,"DRV-02 composite: 55.6/100 (FEASIBLE). Sub-scores: ep01_roads=66; ep01_special_pop=0; ep01_geography=95; ep01_terrain=10; ep01_population=80. Sources: osm_overpass, ghsl_pop_100m_r2023a, copernicus_dem_30m.",0.74,1452.14,True,medium,ERA5 seasonal constraints proxy (ref 1991-2020) | snow_months=3 | extreme_precip_months=0 | max_snowfall=0.2mm/day | source=copernicus_era5,False,0,medium,"0 waterway(s), major river barrier: no",17,3,2,medium,"17 hospital/clinic, 3 prison, 2 care home within EPZ",,,,2026-04-20 21:28:46.438095+00:00,audit_postlogging_20260421,True,10.0,,,,api,merge_phase2_20260421
AT,St Andrae power station,021c723b-98af-4b72-8f6c-ade538885f10,52.5,50.4,90.0,95.0,80.0,high,"DRV-02 composite: 52.5/100 (FEASIBLE). Sub-scores: ep01_roads=0; ep01_special_pop=90; ep01_geography=95; ep01_terrain=10; ep01_population=80. Sources: osm_overpass, ghsl_pop_100m_r2023a, copernicus_dem_30m.",0.474,931.49,True,medium,ERA5 seasonal constraints proxy (ref 1991-2020) | snow_months=1 | extreme_precip_months=0 | max_snowfall=0.1mm/day | source=copernicus_era5,False,0,medium,"0 waterway(s), major river barrier: no",2,0,0,medium,"2 hospital/clinic, 0 prison, 0 care home within EPZ (total 2 facilities). Source: OSM Overpass [FIX-05 amenities]",,,,2026-04-20 21:28:46.453518+00:00,audit_postlogging_20260421,True,10.0,,,,api,merge_phase2_20260421
AT,Timelkam power station,2dcd2c6d-f375-4408-9492-7910662fac03,44.0,67.6,90.0,10.0,80.0,high,"DRV-02 composite: 44.0/100 (FEASIBLE). Sub-scores: ep01_roads=0; ep01_special_pop=90; ep01_geography=10; ep01_terrain=10; ep01_population=80. Sources: osm_overpass, ghsl_pop_100m_r2023a, copernicus_dem_30m.",0.76,1492.87,True,medium,ERA5 seasonal constraints proxy (ref 1991-2020) | snow_months=4 | extreme_precip_months=0 | max_snowfall=0.2mm/day | source=copernicus_era5,True,163,medium,"163 waterway(s), major river barrier: yes",13,1,9,medium,"13 hospital/clinic, 1 prison, 9 care home within EPZ (total 23 facilities). Source: OSM Overpass [FIX-05 amenities]",,,,2026-04-20 21:28:46.466779+00:00,audit_postlogging_20260421,True,10.0,,,,api,merge_phase2_20260421
AT,Voitsberg power station,99d712ac-7993-4186-8a0e-2e88bae7e90f,55.4,65.4,0.0,95.0,80.0,high,"DRV-02 composite: 55.4/100 (FEASIBLE). Sub-scores: ep01_roads=65; ep01_special_pop=0; ep01_geography=95; ep01_terrain=10; ep01_population=80. Sources: osm_overpass, ghsl_pop_100m_r2023a, copernicus_dem_30m.",0.723,1419.86,True,medium,ERA5 seasonal constraints proxy (ref 1991-2020) | snow_months=0 | extreme_precip_months=0 | max_snowfall=0.1mm/day | source=copernicus_era5,False,0,medium,"0 waterway(s), major river barrier: no",38,4,4,medium,"38 hospital/clinic, 4 prison, 4 care home within EPZ",,,,2026-04-20 21:28:46.479046+00:00,audit_postlogging_20260421,True,10.0,,,,api,merge_phase2_20260421
AT,Zeltweg power station,33d83e11-cfcd-47cb-be5e-82ca0fc352cc,57.8,55.6,90.0,95.0,95.0,high,"DRV-02 composite: 57.8/100 (FEASIBLE). Sub-scores: ep01_roads=0; ep01_special_pop=90; ep01_geography=95; ep01_terrain=10; ep01_population=95. Sources: osm_overpass, ghsl_pop_100m_r2023a, copernicus_dem_30m.",0.56,1099.19,True,medium,ERA5 seasonal constraints proxy (ref 1991-2020) | snow_months=2 | extreme_precip_months=0 | max_snowfall=0.1mm/day | source=copernicus_era5,False,0,medium,"0 waterway(s), major river barrier: no",11,2,3,medium,"11 hospital/clinic, 2 prison, 3 care home within EPZ (total 16 facilities). Source: OSM Overpass [FIX-05 amenities]",,,,2026-04-20 21:28:46.493456+00:00,audit_postlogging_20260421,True,10.0,,,,api,merge_phase2_20260421
BA,Banovici power station,82011c29-a3d3-4a81-a27b-019d2649a251,44.0,25.0,90.0,10.0,80.0,high,"DRV-02 composite: 44.0/100 (FEASIBLE). Sub-scores: ep01_roads=0; ep01_special_pop=90; ep01_geography=10; ep01_terrain=10; ep01_population=80. Sources: osm_overpass, ghsl_pop_100m_r2023a, copernicus_dem_30m.",0.25,491.23,False,medium,ERA5 seasonal constraints proxy (ref 1991-2020) | snow_months=3 | extreme_precip_months=0 | max_snowfall=0.1mm/day | source=copernicus_era5,True,119,medium,"119 waterway(s), major river barrier: yes",26,1,1,medium,"26 hospital/clinic, 1 prison, 1 care home within EPZ (total 28 facilities). Source: OSM Overpass [FIX-05 amenities]",,,,2026-04-20 21:28:46.507604+00:00,audit_postlogging_20260421,True,10.0,,,,api,merge_phase2_20260421
