code,phase,verdict,rows,distinct_sites,countries,criteria
A11,avoidance,inconclusive,2904,363,20,NH-09
A12,avoidance,inconclusive,2904,363,20,RI-05
A3,avoidance,inconclusive,2904,363,20,HI-01
A4,avoidance,inconclusive,2904,363,20,HI-01
A9,avoidance,inconclusive,2904,363,20,NH-08
E4,exclusionary,inconclusive,2904,363,20,NH-07
E7,exclusionary,inconclusive,2904,363,20,NS-08
E9,exclusionary,pass,2904,363,20,NS-01
NH-10,exclusionary,pass,2904,363,20,NH-10
A14,avoidance,pass,2896,362,20,NS-03
E2,exclusionary,pass,2896,362,19,NH-03
E5,exclusionary,pass,2896,362,20,NH-05
E3,exclusionary,pass,2880,360,20,NH-04
A7,avoidance,inconclusive,2840,355,20,HI-02
A2,avoidance,pass,2816,352,20,HI-01
A5,avoidance,pass,2568,321,20,HI-06
A6,avoidance,pass,2568,321,20,HI-06
E1,exclusionary,pass,2504,313,17,NH-02
E8,exclusionary,inconclusive,2448,306,20,EP-01
A1,avoidance,pass,2312,289,18,HI-01
A8,avoidance,inconclusive,2240,280,18,HI-03
A15,avoidance,pass,2168,271,18,NS-05
E6,exclusionary,pass,2104,263,13,NH-05
A10,avoidance,pass,1896,237,19,NH-01
A12,avoidance,pass,1840,230,20,RI-04
E8:floor,exclusionary,fail,1680,210,19,EP-01
A13,avoidance,pass,1448,181,19,NS-02
A13,avoidance,caution,1440,180,17,NS-02
E3:floor,exclusionary,fail,1288,161,15,NH-04
A12,avoidance,caution,1064,133,12,RI-04
A10,avoidance,caution,880,110,6,NH-01
E5:floor,exclusionary,fail,824,103,14,NH-05
E6,exclusionary,fail,800,100,13,NH-05
A15,avoidance,caution,688,86,15,NS-05
A1,avoidance,caution,592,74,15,HI-01
E8,exclusionary,fail,456,57,11,EP-01
A8,avoidance,pass,416,52,8,HI-03
E1,exclusionary,fail,400,50,10,NH-02
A5,avoidance,inconclusive,336,42,4,HI-06
A6,avoidance,inconclusive,336,42,4,HI-06
E1:floor,exclusionary,fail,304,38,7,NH-02
A8,avoidance,caution,248,31,6,HI-03
A10,avoidance,inconclusive,128,16,1,NH-01
A2,avoidance,caution,88,11,5,HI-01
A7,avoidance,pass,64,8,3,HI-02
A15,avoidance,inconclusive,48,6,2,NS-05
E6:floor,exclusionary,fail,32,4,4,NH-05
E7:floor,exclusionary,fail,32,4,4,NS-08
E3,exclusionary,fail,24,3,3,NH-04
A13,avoidance,inconclusive,16,2,1,NS-02
A14,avoidance,caution,8,1,1,NS-03
E2,exclusionary,inconclusive,8,1,1,NH-03
E2:floor,exclusionary,fail,8,1,1,NH-03
E5,exclusionary,fail,8,1,1,NH-05
