criterion_id,rows,unscored_rows,insufficient_rows,min_score,median_score,max_score
BF-01,2904,0,2904,5.5,5.5,9.5
BF-02,2904,48,2904,1.5,9.5,9.5
EP-01,2904,0,0,0.0,3.5,7.5
EP-02,2904,0,0,1.5,5.5,7.5
EP-03,2904,2904,0,5.0,5.0,5.0
EP-04,2904,2904,0,5.0,5.0,5.0
EP-05,2904,2904,2904,5.0,5.0,5.0
HI-01,2904,0,0,3.5,5.5,5.5
HI-02,2904,2840,0,5.0,5.0,9.5
HI-03,2904,2240,0,1.5,5.0,7.5
HI-04,2904,2840,0,5.0,5.0,9.5
HI-05,2904,2904,2904,5.0,5.0,5.0
HI-06,2904,336,0,1.5,1.5,5.5
HI-07,2904,2904,0,5.0,5.0,5.0
HI-08,2904,2904,2904,5.0,5.0,5.0
NH-01,2904,0,0,0.0,5.5,9.5
NH-02,2904,0,0,0.0,7.5,7.5
NH-03,2904,1696,0,1.5,5.0,5.5
NH-04,2904,0,0,0.0,5.5,9.5
NH-05,2904,168,0,1.5,7.5,9.5
NH-06,2904,0,0,0.0,5.5,5.5
NH-07,2904,2904,0,5.0,5.0,5.0
NH-08,2904,2904,0,5.0,5.0,5.0
NH-09,2904,2904,0,5.0,5.0,5.0
NH-10,2904,0,0,9.5,9.5,9.5
NH-11,2904,0,0,4.0,4.0,4.0
NH-12,2904,0,0,7.5,9.5,9.5
NH-13,2904,2904,2904,5.0,5.0,5.0
NH-14,2904,2904,2904,5.0,5.0,5.0
NS-01,2904,0,0,5.0,6.0,7.0
NS-02,2904,0,0,3.5,5.5,9.5
NS-03,2904,0,0,5.0,7.0,10.0
NS-04,2904,0,0,1.5,5.5,9.5
NS-05,2904,8,0,1.5,9.5,9.5
NS-06,2904,2904,2904,5.0,5.0,5.0
NS-07,2904,2904,2904,5.0,5.0,5.0
NS-08,2904,1608,40,3.5,5.0,7.5
NS-09,2904,2904,1608,5.0,5.0,5.0
NS-10,2904,2904,1608,5.0,5.0,5.0
NS-11,2904,2904,2904,5.0,5.0,5.0
NS-12,2904,2904,0,5.0,5.0,5.0
NS-13,2904,2904,2904,5.0,5.0,5.0
RI-01,2904,0,0,5.0,5.0,5.0
RI-02,2904,0,2904,1.5,1.5,9.5
RI-03,2904,2904,0,5.0,5.0,5.0
RI-04,2904,0,0,1.5,3.5,9.5
RI-05,2904,2904,0,5.0,5.0,5.0
RI-06,2904,0,0,1.5,7.5,9.5
