original_column,clear_name,description
pga_475yr_g,EXCL_NH_01_PeakGroundAccel475yr_VALUE_g,Peak Ground Acceleration (475-year return) in gravity units
pga_2475yr_g,EXCL_NH_01_PeakGroundAccel2475yr_VALUE_g,Peak Ground Acceleration (2475-year return) in gravity units
spectral_accel_json,EXCL_NH_01_SpectralAccelResponse_VALUE_json,Spectral acceleration response spectrum as JSON
nh01_source,EXCL_NH_01_SeismicGroundMotion_SOURCE_text,Seismic Ground Motion data source
nh01_quality,EXCL_NH_01_SeismicGroundMotion_QUALITY_assessment,Seismic Ground Motion quality assessment
nh01_comment,EXCL_NH_01_SeismicGroundMotion_COMMENT_text,Seismic Ground Motion detailed comment
nearest_fault_km,EXCL_NH_02_NearestFaultDist_VALUE_km,Distance to nearest seismogenic fault in kilometers
fault_name,EXCL_NH_02_FaultName_VALUE_text,Name of nearest seismogenic fault
fault_slip_rate_mm_yr,EXCL_NH_02_FaultSlipRate_VALUE_mm_per_yr,Fault slip rate in millimeters per year
nh02_source,EXCL_NH_02_SurfaceRupture_SOURCE_text,Surface Rupture data source
nh02_quality,EXCL_NH_02_SurfaceRupture_QUALITY_assessment,Surface Rupture quality assessment
nh02_comment,EXCL_NH_02_SurfaceRupture_COMMENT_text,Surface Rupture detailed comment
liquefaction_suscept,EXCL_NH_03_LiquefactionSusc_VALUE_class,Liquefaction susceptibility class
soil_type,EXCL_NH_03_SoilType_VALUE_text,Soil classification type
groundwater_depth_m,EXCL_NH_03_GroundwaterDepth_VALUE_m,Depth to groundwater table in meters
nh03_quality,EXCL_NH_03_Liquefaction_QUALITY_assessment,Liquefaction quality assessment
nh03_comment,EXCL_NH_03_Liquefaction_COMMENT_text,Liquefaction detailed comment
slope_angle_deg,EXCL_NH_04_SlopeAngle_VALUE_deg,Site slope angle in degrees (fused/primary value)
slope_stability_class,EXCL_NH_04_SlopeStabilityClass_VALUE_class,Slope stability classification
landslide_inventory_notes,EXCL_NH_04_LandslideInventory_COMMENT_text,Landslide inventory observations
nh04_dem_cog_slope_max_deg,EXCL_NH_04_DemCogSlopeMax_VALUE_deg,Max slope from Copernicus DEM COG in degrees
nh04_gee_slope_max_deg,EXCL_NH_04_GeeSlopeMax_VALUE_deg,Max slope from Google Earth Engine in degrees
nh04_gee_slope_mean_deg,EXCL_NH_04_GeeSlopeMean_VALUE_deg,Mean slope from Google Earth Engine in degrees
