site,country,smr,criterion,code,measured,threshold,units,relaxation_pct,justification
Sko-Energo power station,Czechia (CZ),nuscale_voygr6,EP-01 — Emergency Planning Feasibility,E8,27.8,24,points,0,TRIGGERED: E8 — DRV-02 composite < 30 OR nearest Level-2+ trauma centre > 60 km.
Czestochowa CHP power station,Poland (PL),nuscale_voygr6,EP-01 — Emergency Planning Feasibility,E8,27.7,24,points,0,TRIGGERED: E8 — DRV-02 composite < 30 OR nearest Level-2+ trauma centre > 60 km.
Katowice PKE power station,Poland (PL),nuscale_voygr6,EP-01 — Emergency Planning Feasibility,E8,24.9,24,points,0,TRIGGERED: E8 — DRV-02 composite < 30 OR nearest Level-2+ trauma centre > 60 km.
Miechowice power station,Poland (PL),nuscale_voygr6,EP-01 — Emergency Planning Feasibility,E8,29.5,24,points,0,TRIGGERED: E8 — DRV-02 composite < 30 OR nearest Level-2+ trauma centre > 60 km.
Zabrze power station,Poland (PL),nuscale_voygr6,EP-01 — Emergency Planning Feasibility,E8,27.8,24,points,0,TRIGGERED: E8 — DRV-02 composite < 30 OR nearest Level-2+ trauma centre > 60 km.
Te-Tol power station,Slovenia (SI),nuscale_voygr6,EP-01 — Emergency Planning Feasibility,E8,25.9,24,points,0,TRIGGERED: E8 — DRV-02 composite < 30 OR nearest Level-2+ trauma centre > 60 km.
Plzen CHP power station,Czechia (CZ),nuscale_voygr6,EP-01 — Emergency Planning Feasibility,E8,28.7,24,points,0,TRIGGERED: E8 — DRV-02 composite < 30 OR nearest Level-2+ trauma centre > 60 km.
Plzenska energetika ELU III power station,Czechia (CZ),nuscale_voygr6,EP-01 — Emergency Planning Feasibility,E8,28.9,24,points,0,TRIGGERED: E8 — DRV-02 composite < 30 OR nearest Level-2+ trauma centre > 60 km.
Trebovice power station,Czechia (CZ),nuscale_voygr6,EP-01 — Emergency Planning Feasibility,E8,28.7,24,points,0,TRIGGERED: E8 — DRV-02 composite < 30 OR nearest Level-2+ trauma centre > 60 km.
Bedzin power station,Poland (PL),nuscale_voygr6,EP-01 — Emergency Planning Feasibility,E8,24.5,24,points,0,TRIGGERED: E8 — DRV-02 composite < 30 OR nearest Level-2+ trauma centre > 60 km.
Gdynia-3 power station,Poland (PL),nuscale_voygr6,EP-01 — Emergency Planning Feasibility,E8,29.2,24,points,0,TRIGGERED: E8 — DRV-02 composite < 30 OR nearest Level-2+ trauma centre > 60 km.
