national_rank,name,passed_exclusionary,passed_avoidance,composite_score,composite_score_low,composite_score_high,national_band,national_top10pct_hit_rate,criteria_coverage,avg_confidence,installed_capacity_mw,latitude,longitude
1,Gacko Thermal Power Plant,True,False,5.968,4.242,6.463,A,1.0,40.0,low,650.0,43.172137,18.511555
2,Banovici power station,True,False,5.384,4.04,5.879,D,0.0,40.0,low,350.0,44.4,18.5333
3,Stanari Thermal Power Plant,True,False,5.162,3.943,5.737,D,0.0,40.0,low,300.0,44.753861,17.792444
4,Miljevina power station,True,False,5.01,3.894,5.505,H,0.0,42.5,low,220.0,43.518304,18.652091
5,Kamengrad Thermal Power Plant,True,False,4.936,3.861,5.505,H,0.0,42.5,low,430.0,44.766667,16.666667
6,Ugljevik power station,True,False,4.707,3.744,5.172,H,0.0,40.0,low,1000.0,44.683446,18.968516
,Bugojno Thermal Power Project,False,False,,,,,,0.0,low,600.0,44.05,17.45
,Glinica power station,False,False,,,,,,0.0,low,500.0,43.333,17.8
,Kakanj Thermal Power Plant,False,False,,,,,,0.0,low,1050.0,44.089633,18.113865
,Kongora Thermal Power Plant,False,True,,,,,,0.0,low,550.0,43.64611,17.33139
,Tuzla Thermal Power Plant,False,False,,,,,,0.0,low,1640.0,44.52104,18.606443
