national_rank,name,passed_exclusionary,passed_avoidance,composite_score,composite_score_low,composite_score_high,national_band,national_top10pct_hit_rate,criteria_coverage,avg_confidence,installed_capacity_mw,latitude,longitude
1,Polaniec power station,True,False,6.788,4.769,7.208,A,1.0,42.5,low,1882.0,50.437685,21.33769
2,Opole power station,True,True,6.58,4.672,7.075,A,1.0,42.5,low,3332.0,50.75182,17.88196
3,Turów power station,True,False,6.333,4.454,6.828,B,0.9375,40.0,low,2754.0,50.947717,14.91171
4,Puchaczow power station,True,False,6.307,4.544,6.698,B,1.0,42.5,low,800.0,51.3,22.966667
5,Patnow power station,True,False,6.212,4.401,6.707,D,0.0625,40.0,low,1718.0,52.302,18.237
6,Konin power station,True,False,6.152,4.374,6.646,B,0.875,40.0,low,165.0,52.283657,18.269475
7,Skawina power station,True,False,5.976,4.39,6.396,C,0.75,42.5,low,540.0,49.977425,19.805132
8,Dolna Odra power station,True,True,5.948,4.377,6.415,B,0.875,42.5,low,1792.0,53.20778,14.46722
9,ZW Nowa power station,True,False,5.913,4.553,6.298,D,0.0,50.0,low,105.0,50.347756,19.278159
10,Pólnoc power station,True,False,5.863,4.337,6.358,D,0.0,42.5,low,1600.0,53.962892,18.711758
11,Pulawy ZAP Works power station,True,False,5.835,4.324,6.302,C,0.6875,42.5,low,92.0,51.457211,21.973811
12,Laziska power station,True,False,5.829,4.346,6.222,H,0.0,45.0,low,1155.0,50.134526,18.844352
13,Kozienice power station,True,False,5.782,4.324,6.204,D,0.125,45.0,low,5069.0,51.58293,21.54779
14,Siekierki power station,True,False,5.697,4.176,6.162,D,0.0625,40.0,low,991.0,52.191456,21.086218
15,Leczna Power Station (Bogdanka SA),True,False,5.694,4.282,6.259,H,0.0,45.0,low,500.0,51.3009,22.88211
16,Kedzierzyn CCS Project,True,False,5.653,4.181,6.04,H,0.0,42.5,low,910.0,50.34988,18.226184
17,Zarnowiec power station,True,False,5.652,4.308,6.143,D,0.0,45.0,low,1600.0,54.787416,18.085672
18,Gubin Power Project,True,False,5.631,4.148,6.081,D,0.0,40.0,low,3000.0,51.948982,14.728458
19,Leczna Power Station (Enea),True,False,5.623,4.225,6.189,H,0.0,42.5,low,500.0,51.3,22.883333
20,Belchatow power station,True,False,5.621,4.143,5.98,H,0.0,40.0,low,6258.0,51.266389,19.330556
