national_rank,name,passed_exclusionary,passed_avoidance,composite_score,composite_score_low,composite_score_high,national_band,national_top10pct_hit_rate,criteria_coverage,avg_confidence,installed_capacity_mw,latitude,longitude
1,Tusimice power station,True,False,6.089,4.374,6.475,A,0.9375,42.5,low,800.0,50.381868,13.339973
2,Pocerady power station,True,False,5.97,4.295,6.384,C,0.75,40.0,low,1000.0,50.4267,13.6747
3,Ledvice power station,True,False,5.899,4.264,6.283,B,0.9375,40.0,low,990.0,50.57658,13.779761
4,Chvaletice power station,True,False,5.827,4.258,6.297,C,0.75,42.5,low,820.0,50.028062,15.450504
5,Melnik power station,True,False,5.737,4.194,6.202,C,0.6875,40.0,low,1070.0,50.413132,14.41582
6,Prunerov power station,True,False,5.535,4.106,5.879,D,0.0,40.0,low,2240.0,50.415122,13.255958
7,Plana Nad Luznici power station,True,False,5.485,4.106,5.901,D,0.0,42.5,low,46.5,49.368459,14.702139
8,Opatovice power station,True,False,5.455,4.07,5.838,D,0.0,40.0,low,360.0,50.12283,15.790765
9,Komorany power station,True,False,5.436,4.084,5.901,D,0.0,42.5,low,197.0,50.522288,13.572102
10,Hodonin power station,True,False,5.364,4.031,5.778,E,0.0,40.0,low,107.0,48.847759,17.120129
11,Vresova TPS power station,True,False,5.347,4.044,5.762,H,0.0,42.5,low,400.0,50.255816,12.695936
12,Detmarovice power station,True,False,5.325,4.086,5.717,H,0.0,42.5,low,800.0,49.907184,18.464559
13,Mondi Steti power station,True,False,5.322,4.033,5.762,D,0.0,42.5,low,94.0,50.460918,14.375854
14,Prerov power station,True,False,5.232,3.974,5.616,H,0.0,40.0,low,41.0,49.445061,17.428525
15,Trinec-E3 power station,True,False,5.168,3.965,5.584,H,0.0,42.5,low,32.0,49.677778,18.672778
16,Pribram power station,True,False,4.98,3.863,5.394,H,0.0,40.0,low,38.0,49.696,14.003
17,Tisova power station,True,False,4.98,3.863,5.394,H,0.0,40.0,low,276.0,50.149402,12.610338
18,Porici power station,True,False,4.889,3.824,5.273,H,0.0,40.0,low,165.0,50.572812,15.963992
19,Kladno power station,True,False,4.813,3.791,5.172,H,0.0,40.0,low,405.6,50.1535,14.12858
20,Zlin power station,True,False,4.782,3.793,5.168,H,0.0,42.5,low,30.0,49.225,17.654
21,Mostecka Power Station,True,False,4.732,3.756,5.091,H,0.0,40.0,low,1200.0,50.503,13.63617
22,Karvina power station,True,False,4.727,3.753,5.111,H,0.0,40.0,low,125.0,49.823463,18.480287
23,Marianske Hory power station,True,False,4.566,3.683,4.949,H,0.0,40.0,low,30.0,49.86,18.27
,Malesice power station,False,False,,,,,,0.0,low,110.0,50.084967,14.525273
,Olomouc power station,False,False,,,,,,0.0,low,50.0,49.570879,17.304121
,Plzen CHP power station,False,False,,,,,,0.0,low,137.0,49.754333,13.398754
,Plzenska energetika ELU III power station,False,False,,,,,,0.0,low,65.0,49.739529,13.345461
,Sko-Energo power station,False,False,,,,,,0.0,low,70.0,50.41721,14.93293
,Trebovice power station,False,False,,,,,,0.0,low,177.0,49.831905,18.211305
