national_rank,name,passed_exclusionary,passed_avoidance,composite_score,composite_score_low,composite_score_high,national_band,national_top10pct_hit_rate,criteria_coverage,avg_confidence,installed_capacity_mw,latitude,longitude
1,Zmiivska power station,True,True,6.086,4.033,6.474,B,0.9375,32.5,low,2270.0,49.586013,36.523875
2,Dobrotvir power station,True,True,5.989,4.198,6.396,D,0.3125,37.5,low,1110.0,50.214293,24.374654
3,Ladyzhyn power station,True,True,5.989,4.198,6.484,B,1.0,37.5,low,1800.0,48.705825,29.218668
4,Kalush power station,True,False,5.89,4.159,6.264,D,0.0,37.5,low,200.0,49.07049,24.318522
5,Burshtyn power station,True,True,5.812,4.053,6.306,D,0.0625,35.0,low,3166.0,49.210383,24.666536
6,Starobesheve power station,True,False,5.774,4.002,6.171,A,0.875,35.0,low,2010.0,47.800786,38.005422
7,Kryvorizka power station,True,True,5.566,3.859,5.921,D,0.0,32.5,low,2925.0,47.543204,33.659513
8,Vuglegirska power station,True,True,5.506,3.905,5.902,H,0.0,35.0,low,1200.0,48.464745,38.20266
9,Kurakhov power station,True,True,5.415,3.872,5.78,D,0.0625,35.0,low,1532.0,47.994514,37.237077
10,Myronivskyi power station,True,False,5.409,3.87,5.902,E,0.0,35.0,low,275.0,48.479778,38.284834
11,Trypilska power station,True,True,5.409,3.87,5.805,H,0.0,35.0,low,1225.0,50.133377,30.74667
12,Chernihiv power station,True,False,5.349,3.786,5.842,H,0.0,32.5,low,220.0,51.45496,31.260173
13,Luganskaya power station,True,True,5.335,3.844,5.732,H,0.0,35.0,low,1420.0,48.749346,39.261917
14,Zuevskaya power station,True,True,5.287,3.826,5.683,H,0.0,35.0,low,1290.0,48.034804,38.285213
15,Prydniprovska power station,True,False,5.043,3.738,5.439,H,0.0,35.0,low,2455.0,48.405291,35.111749
16,Zaporizhia power station,True,False,4.987,3.665,5.447,F,0.0625,32.5,low,1250.0,47.507238,34.625478
17,Slavyansk power station,True,True,4.677,3.606,5.073,H,0.0,35.0,low,1540.0,48.870681,37.765621
,Cherkasy power station,False,False,,,,,,0.0,low,180.0,49.390543,32.067372
,Darnytska power station,False,False,,,,,,0.0,low,160.0,50.447771,30.642949
,Kramatorskaya power station,False,False,,,,,,0.0,low,120.0,48.747705,37.572339
