national_rank,name,passed_exclusionary,passed_avoidance,composite_score,composite_score_low,composite_score_high,national_band,national_top10pct_hit_rate,criteria_coverage,avg_confidence,installed_capacity_mw,latitude,longitude
1,Konya Karapınar power station,True,True,6.518,4.317,6.918,A,1.0,35.0,low,1000.0,37.614187,33.591193
2,Çoban Yıldız power station,True,False,6.376,4.264,6.776,A,1.0,35.0,low,37.0,37.557261,32.847995
3,Akdeniz Enerji power station,True,True,6.28,4.344,6.774,A,1.0,40.0,low,1600.0,36.201759,33.671397
4,Kangal Etyemez power station,True,False,6.264,4.251,6.667,A,0.875,37.5,low,135.0,39.07743,37.29562
5,Kangal power station,True,False,6.264,4.251,6.667,A,0.9375,37.5,low,457.0,39.077483,37.294973
6,Yeşilovacık power station,True,True,6.209,4.286,6.703,A,1.0,37.5,low,1254.0,36.200611,33.663742
7,Sarp Golvasi power station,True,False,6.126,4.198,6.529,A,1.0,37.5,low,1200.0,37.368333,35.706111
8,Eren-1 power station,True,True,6.055,4.225,6.462,A,1.0,37.5,low,490.0,41.632,27.03
9,Yüksek Gölovası power station,True,False,6.047,4.141,6.447,A,1.0,35.0,low,1200.0,37.368333,35.706111
10,Yıldırım Elazığ power station,True,False,5.995,4.2,6.352,D,0.4375,37.5,low,200.0,38.662,39.772
11,METES power station,True,True,5.989,4.198,6.484,B,1.0,37.5,low,2000.0,36.24,33.75
12,Gerze power station,True,True,5.967,4.189,6.462,B,1.0,37.5,low,1200.0,41.86621,35.12424
13,Karapinar Konya Şeker power station,True,True,5.948,4.13,6.414,C,0.625,37.5,low,2000.0,37.716,33.554
14,Uluköy power station,True,False,5.943,4.128,6.437,D,0.0,37.5,low,640.0,38.199984,30.27055
15,Diler (Akbayir) Elbistan power station,True,False,5.929,4.097,6.329,D,0.125,35.0,low,400.0,38.17,37.37
16,Tufanbeyli power station,True,False,5.929,4.097,6.329,D,0.1875,35.0,low,450.0,38.18562,36.26994
17,Seyitömer power station,True,True,5.901,4.163,6.308,D,0.0,37.5,low,600.0,39.572967,29.88164
18,Tunçbilek power station,True,False,5.882,4.079,6.282,C,0.5625,35.0,low,665.0,39.619778,29.465881
19,Alpu power station,True,False,5.871,4.176,6.28,B,1.0,40.0,low,1080.0,39.897,30.862
20,Umut power station,True,True,5.849,4.167,6.344,D,0.125,40.0,low,660.0,41.133,37.156
21,Barbaros-1 power station,True,True,5.812,4.152,6.28,D,0.1875,40.0,low,610.0,41.803,35.194
22,Çayırhan power station,True,True,5.747,4.101,6.242,D,0.0625,37.5,low,1420.0,40.097,31.695
23,Sinop Akfen power station,True,True,5.725,4.093,6.132,D,0.25,37.5,low,1600.0,41.953,34.83
24,Filyos power station,True,True,5.703,4.084,6.11,B,0.8125,37.5,low,1600.0,41.57543,32.05965
25,Çankırı Orta power station,True,False,5.694,4.009,6.094,B,0.8125,35.0,low,150.0,40.623886,33.112751
26,Orta Anadolu power station,True,False,5.694,4.009,6.094,B,0.875,35.0,low,135.0,40.623886,33.112751
27,Yunus Emre power station,True,False,5.593,4.04,6.0,D,0.0625,37.5,low,290.0,39.984309,31.635639
28,Teyo Tufanbeyli power station,True,False,5.559,3.958,6.141,D,0.0,35.0,low,700.0,38.2299,36.2481
29,Kahramanmaraş Anadolu power station,True,False,5.538,4.018,5.912,C,0.625,37.5,low,1200.0,38.350818,37.00706
