national_rank,name,passed_exclusionary,passed_avoidance,composite_score,composite_score_low,composite_score_high,national_band,national_top10pct_hit_rate,criteria_coverage,avg_confidence,installed_capacity_mw,latitude,longitude
1,Polaniec power station,True,True,7.684,6.785,8.219,A,1.0,76.47,low,1882.0,50.437685,21.33769
2,Pólnoc power station,True,True,7.284,6.462,7.869,A,1.0,76.47,low,1600.0,53.962892,18.711758
3,Adamow power station,True,True,7.227,6.245,7.822,B,0.9167,73.53,low,600.0,52.012307,18.546212
4,Gubin Power Project,True,False,7.222,6.412,7.803,B,0.9167,76.47,low,3000.0,51.948982,14.728458
5,Kedzierzyn CCS Project,True,False,7.191,6.386,7.737,C,0.75,76.47,low,910.0,50.34988,18.226184
6,Opalenie power station,True,False,7.184,6.381,7.769,B,1.0,76.47,low,1660.0,53.742222,18.823056
7,Puchaczow power station,True,False,7.153,6.356,7.65,D,0.25,76.47,low,800.0,51.3,22.966667
8,Dolna Odra power station,True,True,7.134,6.341,7.769,D,0.0833,76.47,low,1792.0,53.20778,14.46722
9,Swiecie Pulp Mill power station,True,False,7.116,6.326,7.731,D,0.0833,76.47,low,113.0,53.393629,18.374224
10,Zarnowiec power station,True,False,6.984,6.058,7.579,D,0.0,73.53,low,1600.0,54.787416,18.085672
11,Pulawy power station (Vattenfall),True,False,6.953,6.194,7.566,D,0.0,76.47,low,1620.0,51.416443,21.969309
12,Opole power station,True,False,6.934,6.179,7.5,D,0.0,76.47,low,3332.0,50.75182,17.88196
13,Leczna Power Station (Bogdanka SA),True,False,6.884,6.139,7.45,D,0.0,76.47,low,500.0,51.3009,22.88211
14,Turów power station,True,False,6.884,6.139,7.469,D,0.0,76.47,low,2754.0,50.947717,14.91171
15,Ostrołęka power station,True,False,6.853,6.114,7.469,D,0.0,76.47,low,1681.1,53.103611,21.6125
16,Pulawy ZAP Works power station,True,False,6.853,6.114,7.469,D,0.0,76.47,low,92.0,51.457211,21.973811
